date,hs,swe_obs
2008-08-01,0.0,
2008-08-02,0.0,
2008-08-03,0.0,
2008-08-04,0.0,
2008-08-05,0.0,
2008-08-06,0.0,
2008-08-07,0.0,
2008-08-08,0.0,
2008-08-09,0.0,
2008-08-10,0.0,
2008-08-11,0.0,
2008-08-12,0.0,
2008-08-13,0.0,
2008-08-14,0.0,
2008-08-15,0.0,
2008-08-16,0.0,
2008-08-17,0.0,
2008-08-18,0.0,
2008-08-19,0.0,
2008-08-20,0.0,
2008-08-21,0.0,
2008-08-22,0.0,
2008-08-23,0.0,
2008-08-24,0.0,
2008-08-25,0.0,
2008-08-26,0.0,
2008-08-27,0.0,
2008-08-28,0.0,
2008-08-29,0.0,
2008-08-30,0.0,
2008-08-31,0.0,
2008-09-01,0.0,
2008-09-02,0.0,
2008-09-03,0.0,
2008-09-04,0.0,
2008-09-05,0.0,
2008-09-06,0.0,
2008-09-07,0.0,
2008-09-08,0.0,
2008-09-09,0.0,
2008-09-10,0.0,
2008-09-11,0.0,
2008-09-12,0.0,
2008-09-13,0.0,
2008-09-14,0.0,
2008-09-15,0.0,
2008-09-16,0.0,
2008-09-17,0.0,
2008-09-18,0.0,
2008-09-19,0.0,
2008-09-20,0.0,
2008-09-21,0.0,
2008-09-22,0.0,
2008-09-23,0.0,
2008-09-24,0.0,
2008-09-25,0.0,
2008-09-26,0.0,
2008-09-27,0.0,
2008-09-28,0.0,
2008-09-29,0.0,
2008-09-30,0.0,
2008-10-01,0.0,
2008-10-02,0.0,
2008-10-03,2.0,
2008-10-04,7.000000000000001,
2008-10-05,12.0,
2008-10-06,5.0,
2008-10-07,0.0,
2008-10-08,0.0,
2008-10-09,0.0,
2008-10-10,0.0,
2008-10-11,0.0,
2008-10-12,0.0,
2008-10-13,0.0,
2008-10-14,0.0,
2008-10-15,0.0,
2008-10-16,0.0,
2008-10-17,0.0,
2008-10-18,0.0,
2008-10-19,0.0,
2008-10-20,0.0,
2008-10-21,0.0,
2008-10-22,0.0,
2008-10-23,0.0,
2008-10-24,0.0,
2008-10-25,0.0,
2008-10-26,0.0,
2008-10-27,0.0,
2008-10-28,0.0,
2008-10-29,0.0,
2008-10-30,8.0,
2008-10-31,10.0,
2008-11-01,7.000000000000001,
2008-11-02,2.0,
2008-11-03,0.0,
2008-11-04,0.0,
2008-11-05,0.0,
2008-11-06,0.0,
2008-11-07,0.0,
2008-11-08,0.0,
2008-11-09,0.0,
2008-11-10,0.0,
2008-11-11,0.0,
2008-11-12,0.0,
2008-11-13,9.0,
2008-11-14,9.0,
2008-11-15,9.0,
2008-11-16,9.0,
2008-11-17,4.0,
2008-11-18,5.0,
2008-11-19,5.0,
2008-11-20,5.0,
2008-11-21,5.0,
2008-11-22,64.0,
2008-11-23,65.0,
2008-11-24,57.99999999999999,
2008-11-25,53.0,
2008-11-26,50.0,
2008-11-27,50.0,
2008-11-28,48.0,
2008-11-29,44.0,
2008-11-30,46.0,
2008-12-01,46.0,
2008-12-02,51.0,109.0
2008-12-03,55.00000000000001,
2008-12-04,51.0,
2008-12-05,50.0,
2008-12-06,50.0,
2008-12-07,52.0,
2008-12-08,51.0,
2008-12-09,51.0,
2008-12-10,51.0,
2008-12-11,52.0,
2008-12-12,53.0,
2008-12-13,55.00000000000001,
2008-12-14,52.0,
2008-12-15,50.0,130.0
2008-12-16,50.0,
2008-12-17,49.0,
2008-12-18,50.0,
2008-12-19,50.0,
2008-12-20,56.00000000000001,
2008-12-21,75.0,
