date,hs,swe_obs
2016-09-01,0.0,
2016-09-02,0.0,
2016-09-03,0.0,
2016-09-04,0.0,
2016-09-05,0.0,
2016-09-06,0.0,
2016-09-07,0.0,
2016-09-08,0.0,
2016-09-09,0.0,
2016-09-10,0.0,
2016-09-11,0.0,
2016-09-12,0.0,
2016-09-13,0.0,
2016-09-14,0.0,
2016-09-15,0.0,
2016-09-16,0.0,
2016-09-17,0.0,
2016-09-18,0.0,
2016-09-19,0.0,
2016-09-20,0.0,
2016-09-21,0.0,
2016-09-22,0.0,
2016-09-23,0.0,
2016-09-24,0.0,
2016-09-25,0.0,
2016-09-26,0.0,
2016-09-27,0.0,
2016-09-28,0.0,
2016-09-29,0.0,
2016-09-30,0.0,
2016-10-01,0.0,
2016-10-02,0.0,
2016-10-03,0.0,
2016-10-04,0.0,
2016-10-05,0.0,
2016-10-06,0.0,
2016-10-07,0.0,
2016-10-08,0.0,
2016-10-09,0.0,
2016-10-10,2.0,
2016-10-11,0.0,
2016-10-12,0.0,
2016-10-13,0.0,
2016-10-14,0.0,
2016-10-15,0.0,
2016-10-16,0.0,
2016-10-17,0.0,
2016-10-18,0.0,
2016-10-19,0.0,
2016-10-20,0.0,
2016-10-21,0.0,
2016-10-22,0.0,
2016-10-23,0.0,
2016-10-24,0.0,
2016-10-25,0.0,
2016-10-26,0.0,
2016-10-27,0.0,
2016-10-28,0.0,
2016-10-29,0.0,
2016-10-30,0.0,
2016-10-31,0.0,
2016-11-01,0.0,
2016-11-02,0.0,
2016-11-03,0.0,
2016-11-04,0.0,
2016-11-05,0.0,
2016-11-06,5.0,
2016-11-07,13.0,
2016-11-08,19.0,
2016-11-09,25.0,
2016-11-10,24.0,
2016-11-11,41.0,
2016-11-12,54.0,
2016-11-13,50.0,
2016-11-14,47.0,
2016-11-15,43.0,65.0
2016-11-16,37.0,
2016-11-17,26.0,
2016-11-18,18.0,
2016-11-19,14.000000000000002,
2016-11-20,11.0,
2016-11-21,9.0,
2016-11-22,5.0,
2016-11-23,0.0,
2016-11-24,0.0,
2016-11-25,0.0,
2016-11-26,0.0,
2016-11-27,0.0,
2016-11-28,0.0,
2016-11-29,0.0,
2016-11-30,0.0,
2016-12-01,0.0,
2016-12-02,0.0,
2016-12-03,0.0,
2016-12-04,0.0,
2016-12-05,0.0,
2016-12-06,0.0,
2016-12-07,0.0,
2016-12-08,0.0,
2016-12-09,0.0,
2016-12-10,0.0,
2016-12-11,0.0,
2016-12-12,0.0,
2016-12-13,0.0,
2016-12-14,0.0,
2016-12-15,0.0,
2016-12-16,0.0,
2016-12-17,0.0,
2016-12-18,0.0,
2016-12-19,1.0,
2016-12-20,2.0,
2016-12-21,2.0,
2016-12-22,2.0,
2016-12-23,2.0,
2016-12-24,2.0,
2016-12-25,2.0,
2016-12-26,0.0,
2016-12-27,0.0,
2016-12-28,0.0,
2016-12-29,0.0,
2016-12-30,0.0,
2016-12-31,0.0,
2017-01-01,0.0,
2017-01-02,0.0,
2017-01-03,4.0,
2017-01-04,3.0,
2017-01-05,13.0,
2017-01-06,17.0,
2017-01-07,16.0,
2017-01-08,24.0,
2017-01-09,22.0,
2017-01-10,22.0,
2017-01-11,26.0,
2017-01-12,26.0,
2017-01-13,30.0,
2017-01-14,44.0,
2017-01-15,56.00000000000001,
2017-01-16,55.00000000000001,
2017-01-17,55.00000000000001,
2017-01-18,42.0,
2017-01-19,35.0,136.0
2017-01-20,34.0,
2017-01-21,32.0,
2017-01-22,32.0,
2017-01-23,32.0,
2017-01-24,32.0,
2017-01-25,32.0,
2017-01-26,32.0,
2017-01-27,30.0,
2017-01-28,30.0,
2017-01-29,30.0,
2017-01-30,28.999999999999996,
2017-01-31,25.0,145.0
2017-02-01,24.0,
2017-02-02,24.0,
2017-02-03,23.0,
2017-02-04,24.0,
2017-02-05,33.0,
2017-02-06,65.0,
2017-02-07,65.0,
2017-02-08,70.0,
2017-02-09,72.0,
2017-02-10,72.0,
2017-02-11,72.0,
2017-02-12,71.0,
2017-02-13,70.0,
2017-02-14,68.0,
2017-02-15,67.0,204.0
2017-02-16,65.0,
2017-02-17,64.0,
2017-02-18,70.0,
2017-02-19,67.0,
2017-02-20,65.0,
2017-02-21,62.0,
2017-02-22,56.00000000000001,
2017-02-23,53.0,
2017-02-24,53.0,
2017-02-25,55.00000000000001,
2017-02-26,54.0,
2017-02-27,52.0,
2017-02-28,66.0,229.0
2017-03-01,75.0,
2017-03-02,63.0,
2017-03-03,62.0,
2017-03-04,60.0,
2017-03-05,63.0,
2017-03-06,75.0,
2017-03-07,106.0,
2017-03-08,101.0,
2017-03-09,87.0,
2017-03-10,75.0,
2017-03-11,70.0,
2017-03-12,69.0,
2017-03-13,67.0,
2017-03-14,66.0,
2017-03-15,65.0,273.0
2017-03-16,65.0,
2017-03-17,64.0,
2017-03-18,61.0,
2017-03-19,57.99999999999999,
2017-03-20,53.0,
2017-03-21,50.0,
2017-03-22,47.0,
2017-03-23,55.00000000000001,
2017-03-24,45.0,
2017-03-25,43.0,
2017-03-26,35.0,
2017-03-27,30.0,
2017-03-28,26.0,
2017-03-29,22.0,
2017-03-30,19.0,
2017-03-31,15.0,
2017-04-01,13.0,
2017-04-02,12.0,
2017-04-03,10.0,
2017-04-04,7.000000000000001,
2017-04-05,6.0,
2017-04-06,6.0,
2017-04-07,5.0,
2017-04-08,5.0,
2017-04-09,4.0,
2017-04-10,0.0,
2017-04-11,0.0,
2017-04-12,0.0,
2017-04-13,0.0,
2017-04-14,0.0,
2017-04-15,0.0,
2017-04-16,0.0,
2017-04-17,1.0,
2017-04-18,5.0,
2017-04-19,6.0,
2017-04-20,12.0,
2017-04-21,9.0,
2017-04-22,5.0,
2017-04-23,3.0,
2017-04-24,0.0,
2017-04-25,0.0,
2017-04-26,0.0,
2017-04-27,10.0,
2017-04-28,37.0,
2017-04-29,39.0,
2017-04-30,26.0,
2017-05-01,15.0,
2017-05-02,24.0,
2017-05-03,20.0,
2017-05-04,16.0,
2017-05-05,12.0,
2017-05-06,9.0,
2017-05-07,6.0,
2017-05-08,6.0,
2017-05-09,0.0,
2017-05-10,0.0,
2017-05-11,0.0,
2017-05-12,0.0,
2017-05-13,0.0,
2017-05-14,0.0,
2017-05-15,0.0,
2017-05-16,0.0,
2017-05-17,0.0,
2017-05-18,0.0,
2017-05-19,0.0,
2017-05-20,3.0,
2017-05-21,0.0,
2017-05-22,0.0,
2017-05-23,0.0,
2017-05-24,0.0,
2017-05-25,0.0,
2017-05-26,0.0,
2017-05-27,0.0,
2017-05-28,0.0,
2017-05-29,0.0,
2017-05-30,0.0,
2017-05-31,0.0,
2017-06-01,0.0,
2017-06-02,0.0,
2017-06-03,0.0,
2017-06-04,0.0,
2017-06-05,0.0,
2017-06-06,0.0,
2017-06-07,0.0,
2017-06-08,0.0,
2017-06-09,0.0,
2017-06-10,0.0,
2017-06-11,0.0,
2017-06-12,0.0,
