date,hs,swe_obs
2016-09-01,0.0,
2016-09-02,0.0,
2016-09-03,0.0,
2016-09-04,0.0,
2016-09-05,0.0,
2016-09-06,0.0,
2016-09-07,0.0,
2016-09-08,0.0,
2016-09-09,0.0,
2016-09-10,0.0,
2016-09-11,0.0,
2016-09-12,0.0,
2016-09-13,0.0,
2016-09-14,0.0,
2016-09-15,0.0,
2016-09-16,0.0,
2016-09-17,0.0,
2016-09-18,0.0,
2016-09-19,0.0,
2016-09-20,0.0,
2016-09-21,0.0,
2016-09-22,0.0,
2016-09-23,0.0,
2016-09-24,0.0,
2016-09-25,0.0,
2016-09-26,0.0,
2016-09-27,0.0,
2016-09-28,0.0,
2016-09-29,0.0,
2016-09-30,0.0,
2016-10-01,0.0,
2016-10-02,0.0,
2016-10-03,0.0,
2016-10-04,0.0,
2016-10-05,0.0,
2016-10-06,0.0,
2016-10-07,0.0,
2016-10-08,0.0,
2016-10-09,0.0,
2016-10-10,14.000000000000002,
2016-10-11,7.000000000000001,
2016-10-12,5.0,
2016-10-13,0.0,
2016-10-14,0.0,
2016-10-15,0.0,
2016-10-16,0.0,
2016-10-17,0.0,
2016-10-18,0.0,
2016-10-19,0.0,
2016-10-20,0.0,
2016-10-21,0.0,
2016-10-22,0.0,
2016-10-23,0.0,
2016-10-24,0.0,
2016-10-25,0.0,
2016-10-26,0.0,
2016-10-27,0.0,
2016-10-28,0.0,
2016-10-29,0.0,
2016-10-30,0.0,
2016-10-31,0.0,
2016-11-01,0.0,
2016-11-02,0.0,
2016-11-03,0.0,
2016-11-04,0.0,
2016-11-05,0.0,
2016-11-06,3.0,
2016-11-07,22.0,
2016-11-08,20.0,
2016-11-09,19.0,
2016-11-10,18.0,
2016-11-11,17.0,
2016-11-12,21.0,
2016-11-13,21.0,
2016-11-14,21.0,
2016-11-15,21.0,46.0
2016-11-16,21.0,
2016-11-17,19.0,
2016-11-18,18.0,
2016-11-19,30.0,
2016-11-20,31.0,
2016-11-21,28.000000000000004,
2016-11-22,25.0,
2016-11-23,20.0,
2016-11-24,19.0,
2016-11-25,18.0,
2016-11-26,16.0,
2016-11-27,17.0,
2016-11-28,16.0,
2016-11-29,16.0,
2016-11-30,16.0,
2016-12-01,16.0,
2016-12-02,16.0,
2016-12-03,16.0,
2016-12-04,16.0,
2016-12-05,16.0,
2016-12-06,16.0,
2016-12-07,16.0,
2016-12-08,16.0,
2016-12-09,16.0,
2016-12-10,16.0,
2016-12-11,16.0,
2016-12-12,16.0,
2016-12-13,16.0,
2016-12-14,15.0,
2016-12-15,15.0,45.0
2016-12-16,15.0,
2016-12-17,15.0,
2016-12-18,15.0,
2016-12-19,17.0,
2016-12-20,17.0,
2016-12-21,16.0,
2016-12-22,16.0,
2016-12-23,16.0,
2016-12-24,16.0,
2016-12-25,16.0,
2016-12-26,15.0,
2016-12-27,15.0,
2016-12-28,15.0,
2016-12-29,15.0,
2016-12-30,15.0,
2016-12-31,15.0,74.0
2017-01-01,15.0,
2017-01-02,15.0,
2017-01-03,15.0,
2017-01-04,15.0,
2017-01-05,27.0,
2017-01-06,28.000000000000004,
2017-01-07,28.000000000000004,
2017-01-08,32.0,
2017-01-09,34.0,
2017-01-10,34.0,
2017-01-11,34.0,
2017-01-12,33.0,
2017-01-13,36.0,
2017-01-14,35.0,
2017-01-15,37.0,
2017-01-16,35.0,78.0
2017-01-17,35.0,
2017-01-18,35.0,
2017-01-19,35.0,
2017-01-20,35.0,
2017-01-21,35.0,
2017-01-22,35.0,
2017-01-23,35.0,
2017-01-24,35.0,
2017-01-25,35.0,
2017-01-26,35.0,
2017-01-27,35.0,
2017-01-28,35.0,
2017-01-29,35.0,
2017-01-30,35.0,
2017-01-31,38.0,91.0
2017-02-01,54.0,
2017-02-02,50.0,
2017-02-03,47.0,
2017-02-04,60.0,
2017-02-05,52.0,
2017-02-06,69.0,
2017-02-07,68.0,
2017-02-08,65.0,
2017-02-09,61.0,
2017-02-10,60.0,
2017-02-11,59.0,
2017-02-12,57.99999999999999,
2017-02-13,57.99999999999999,
2017-02-14,56.99999999999999,129.0
2017-02-15,56.00000000000001,
2017-02-16,55.00000000000001,
2017-02-17,54.0,
2017-02-18,55.00000000000001,
2017-02-19,55.00000000000001,
2017-02-20,55.00000000000001,
2017-02-21,55.00000000000001,
2017-02-22,53.0,
2017-02-23,51.0,
2017-02-24,50.0,
2017-02-25,52.0,
2017-02-26,52.0,
2017-02-27,52.0,
2017-02-28,51.0,151.0
2017-03-01,69.0,
2017-03-02,68.0,
2017-03-03,66.0,
2017-03-04,64.0,
2017-03-05,76.0,
2017-03-06,86.0,
2017-03-07,87.0,
2017-03-08,84.0,
2017-03-09,88.0,
2017-03-10,84.0,
2017-03-11,79.0,
2017-03-12,77.0,
2017-03-13,76.0,
2017-03-14,76.0,
2017-03-15,75.0,227.0
2017-03-16,74.0,
2017-03-17,73.0,
2017-03-18,72.0,
2017-03-19,68.0,
2017-03-20,65.0,
2017-03-21,62.0,
2017-03-22,65.0,
2017-03-23,57.99999999999999,
2017-03-24,60.0,
2017-03-25,55.00000000000001,
2017-03-26,50.0,
2017-03-27,49.0,
2017-03-28,47.0,
2017-03-29,44.0,
2017-03-30,41.0,
2017-03-31,39.0,138.0
2017-04-01,35.0,
2017-04-02,31.0,
2017-04-03,27.0,
2017-04-04,23.0,
2017-04-05,22.0,
2017-04-06,19.0,
2017-04-07,18.0,
2017-04-08,15.0,
2017-04-09,9.0,
2017-04-10,0.0,
2017-04-11,0.0,
2017-04-12,0.0,
2017-04-13,0.0,
2017-04-14,0.0,
2017-04-15,0.0,
2017-04-16,0.0,
2017-04-17,2.0,
2017-04-18,2.0,
2017-04-19,6.0,
2017-04-20,6.0,
2017-04-21,4.0,
2017-04-22,0.0,
2017-04-23,0.0,
2017-04-24,0.0,
2017-04-25,0.0,
2017-04-26,12.0,
2017-04-27,19.0,
2017-04-28,54.0,
2017-04-29,54.0,
2017-04-30,43.0,
2017-05-01,27.0,
2017-05-02,46.0,
2017-05-03,49.0,
2017-05-04,39.0,
2017-05-05,30.0,
2017-05-06,21.0,
2017-05-07,24.0,
2017-05-08,19.0,
2017-05-09,15.0,
2017-05-10,13.0,
2017-05-11,9.0,
2017-05-12,0.0,
2017-05-13,0.0,
2017-05-14,0.0,
2017-05-15,0.0,
2017-05-16,0.0,
2017-05-17,0.0,
2017-05-18,0.0,
2017-05-19,0.0,
2017-05-20,6.0,
2017-05-21,0.0,
2017-05-22,0.0,
2017-05-23,0.0,
2017-05-24,0.0,
2017-05-25,0.0,
2017-05-26,0.0,
2017-05-27,0.0,
2017-05-28,0.0,
2017-05-29,0.0,
2017-05-30,0.0,
2017-05-31,0.0,
2017-06-01,0.0,
2017-06-02,0.0,
2017-06-03,0.0,
2017-06-04,0.0,
2017-06-05,0.0,
2017-06-06,0.0,
2017-06-07,0.0,
2017-06-08,0.0,
2017-06-09,0.0,
2017-06-10,0.0,
