date,hs,swe_obs
2016-09-01,0.0,
2016-09-02,0.0,
2016-09-03,0.0,
2016-09-04,0.0,
2016-09-05,0.0,
2016-09-06,0.0,
2016-09-07,0.0,
2016-09-08,0.0,
2016-09-09,0.0,
2016-09-10,0.0,
2016-09-11,0.0,
2016-09-12,0.0,
2016-09-13,0.0,
2016-09-14,0.0,
2016-09-15,0.0,
2016-09-16,0.0,
2016-09-17,0.0,
2016-09-18,0.0,
2016-09-19,0.0,
2016-09-20,0.0,
2016-09-21,0.0,
2016-09-22,0.0,
2016-09-23,0.0,
2016-09-24,0.0,
2016-09-25,0.0,
2016-09-26,0.0,
2016-09-27,0.0,
2016-09-28,0.0,
2016-09-29,0.0,
2016-09-30,0.0,
2016-10-01,0.0,
2016-10-02,0.0,
2016-10-03,0.0,
2016-10-04,0.0,
2016-10-05,0.0,
2016-10-06,0.0,
2016-10-07,0.0,
2016-10-08,0.0,
2016-10-09,0.0,
2016-10-10,5.0,
2016-10-11,0.0,
2016-10-12,0.0,
2016-10-13,0.0,
2016-10-14,0.0,
2016-10-15,0.0,
2016-10-16,0.0,
2016-10-17,0.0,
2016-10-18,0.0,
2016-10-19,0.0,
2016-10-20,0.0,
2016-10-21,0.0,
2016-10-22,0.0,
2016-10-23,0.0,
2016-10-24,0.0,
2016-10-25,0.0,
2016-10-26,0.0,
2016-10-27,0.0,
2016-10-28,0.0,
2016-10-29,0.0,
2016-10-30,0.0,
2016-10-31,0.0,
2016-11-01,0.0,
2016-11-02,0.0,
2016-11-03,0.0,
2016-11-04,0.0,
2016-11-05,0.0,
2016-11-06,5.0,
2016-11-07,16.0,
2016-11-08,15.0,
2016-11-09,14.000000000000002,
2016-11-10,14.000000000000002,
2016-11-11,16.0,
2016-11-12,23.0,
2016-11-13,19.0,
2016-11-14,17.0,
2016-11-15,15.0,31.0
2016-11-16,15.0,
2016-11-17,10.0,
2016-11-18,11.0,
2016-11-19,35.0,
2016-11-20,31.0,
2016-11-21,31.0,
2016-11-22,27.0,
2016-11-23,23.0,
2016-11-24,18.0,
2016-11-25,16.0,
2016-11-26,14.000000000000002,
2016-11-27,13.0,
2016-11-28,11.0,
2016-11-29,11.0,
2016-11-30,11.0,
2016-12-01,11.0,
2016-12-02,11.0,59.0
2016-12-03,11.0,
2016-12-04,11.0,
2016-12-05,11.0,
2016-12-06,11.0,
2016-12-07,10.0,
2016-12-08,10.0,
2016-12-09,10.0,
2016-12-10,10.0,
2016-12-11,10.0,
2016-12-12,10.0,
2016-12-13,10.0,
2016-12-14,9.0,
2016-12-15,9.0,47.0
2016-12-16,9.0,
2016-12-17,9.0,
2016-12-18,9.0,
2016-12-19,11.0,
2016-12-20,11.0,
2016-12-21,11.0,
2016-12-22,10.0,
2016-12-23,10.0,
2016-12-24,10.0,
2016-12-25,10.0,
2016-12-26,8.0,
2016-12-27,7.000000000000001,
2016-12-28,7.000000000000001,
2016-12-29,7.000000000000001,
2016-12-30,7.000000000000001,
2016-12-31,6.0,
2017-01-01,6.0,
2017-01-02,6.0,38.0
2017-01-03,6.0,
2017-01-04,6.0,
2017-01-05,17.0,
2017-01-06,12.0,
2017-01-07,11.0,
2017-01-08,12.0,
2017-01-09,12.0,
2017-01-10,10.0,
2017-01-11,10.0,
2017-01-12,10.0,
2017-01-13,25.0,
2017-01-14,27.0,
2017-01-15,30.0,
2017-01-16,27.0,56.0
2017-01-17,26.0,
2017-01-18,25.0,
2017-01-19,25.0,
2017-01-20,25.0,
2017-01-21,24.0,
2017-01-22,24.0,
2017-01-23,24.0,
2017-01-24,23.0,
2017-01-25,23.0,
2017-01-26,23.0,
2017-01-27,23.0,
2017-01-28,23.0,
2017-01-29,23.0,
2017-01-30,23.0,
2017-01-31,25.0,
2017-02-01,30.0,72.0
2017-02-02,26.0,
2017-02-03,50.0,
2017-02-04,66.0,
2017-02-05,68.0,
2017-02-06,73.0,
2017-02-07,69.0,
2017-02-08,65.0,
2017-02-09,61.0,
2017-02-10,60.0,
2017-02-11,82.0,
2017-02-12,75.0,
2017-02-13,69.0,
2017-02-14,66.0,149.0
2017-02-15,63.0,
2017-02-16,60.0,
2017-02-17,57.99999999999999,
2017-02-18,57.99999999999999,
2017-02-19,57.99999999999999,
2017-02-20,56.99999999999999,
2017-02-21,56.00000000000001,
2017-02-22,52.0,
2017-02-23,50.0,
2017-02-24,49.0,
2017-02-25,48.0,
2017-02-26,48.0,
2017-02-27,48.0,
2017-02-28,56.00000000000001,165.0
2017-03-01,86.0,
2017-03-02,83.0,
2017-03-03,79.0,
2017-03-04,79.0,
2017-03-05,108.0,
2017-03-06,117.0,
2017-03-07,108.0,
2017-03-08,108.0,
2017-03-09,102.0,
2017-03-10,88.0,
2017-03-11,86.0,
2017-03-12,85.0,
2017-03-13,81.0,
2017-03-14,79.0,
2017-03-15,78.0,
2017-03-16,75.0,250.0
2017-03-17,68.0,
2017-03-18,65.0,
2017-03-19,56.99999999999999,
2017-03-20,55.00000000000001,
2017-03-21,48.0,
2017-03-22,45.0,
2017-03-23,40.0,
2017-03-24,42.0,
2017-03-25,38.0,
2017-03-26,35.0,
2017-03-27,32.0,
2017-03-28,30.0,
2017-03-29,28.000000000000004,
2017-03-30,25.0,
2017-03-31,22.0,67.0
2017-04-01,14.000000000000002,
2017-04-02,13.0,
2017-04-03,9.0,
2017-04-04,5.0,
2017-04-05,0.0,
2017-04-06,0.0,
2017-04-07,0.0,
2017-04-08,0.0,
2017-04-09,0.0,
2017-04-10,0.0,
2017-04-11,0.0,
2017-04-12,0.0,
2017-04-13,0.0,
2017-04-14,0.0,
2017-04-15,0.0,
2017-04-16,0.0,
2017-04-17,0.0,
2017-04-18,0.0,
2017-04-19,0.0,
2017-04-20,0.0,
2017-04-21,0.0,
2017-04-22,0.0,
2017-04-23,0.0,
2017-04-24,0.0,
2017-04-25,0.0,
2017-04-26,20.0,
2017-04-27,28.000000000000004,
2017-04-28,55.00000000000001,
2017-04-29,41.0,
2017-04-30,28.000000000000004,
2017-05-01,18.0,
2017-05-02,32.0,
2017-05-03,41.0,
2017-05-04,27.0,
2017-05-05,25.0,
2017-05-06,17.0,
2017-05-07,15.0,
2017-05-08,10.0,
2017-05-09,5.0,
2017-05-10,0.0,
2017-05-11,0.0,
2017-05-12,0.0,
2017-05-13,0.0,
2017-05-14,0.0,
2017-05-15,0.0,
2017-05-16,0.0,
2017-05-17,0.0,
2017-05-18,0.0,
2017-05-19,0.0,
2017-05-20,0.0,
2017-05-21,0.0,
2017-05-22,0.0,
2017-05-23,0.0,
2017-05-24,0.0,
2017-05-25,0.0,
2017-05-26,0.0,
2017-05-27,0.0,
2017-05-28,0.0,
2017-05-29,0.0,
2017-05-30,0.0,
2017-05-31,0.0,
2017-06-01,0.0,
2017-06-02,0.0,
2017-06-03,0.0,
2017-06-04,0.0,
2017-06-05,0.0,
2017-06-06,0.0,
2017-06-07,0.0,
2017-06-08,0.0,
