date,hs,swe_obs
2006-08-01,0.0,
2006-08-02,0.0,
2006-08-03,0.0,
2006-08-04,0.0,
2006-08-05,0.0,
2006-08-06,0.0,
2006-08-07,0.0,
2006-08-08,0.0,
2006-08-09,0.0,
2006-08-10,0.0,
2006-08-11,0.0,
2006-08-12,0.0,
2006-08-13,0.0,
2006-08-14,0.0,
2006-08-15,0.0,
2006-08-16,0.0,
2006-08-17,0.0,
2006-08-18,0.0,
2006-08-19,0.0,
2006-08-20,0.0,
2006-08-21,0.0,
2006-08-22,0.0,
2006-08-23,0.0,
2006-08-24,0.0,
2006-08-25,0.0,
2006-08-26,0.0,
2006-08-27,0.0,
2006-08-28,0.0,
2006-08-29,0.0,
2006-08-30,0.0,
2006-08-31,0.0,
2006-09-01,0.0,
2006-09-02,0.0,
2006-09-03,0.0,
2006-09-04,0.0,
2006-09-05,0.0,
2006-09-06,0.0,
2006-09-07,0.0,
2006-09-08,0.0,
2006-09-09,0.0,
2006-09-10,0.0,
2006-09-11,0.0,
2006-09-12,0.0,
2006-09-13,0.0,
2006-09-14,0.0,
2006-09-15,0.0,
2006-09-16,0.0,
2006-09-17,0.0,
2006-09-18,0.0,
2006-09-19,0.0,
2006-09-20,0.0,
2006-09-21,0.0,
2006-09-22,0.0,
2006-09-23,0.0,
2006-09-24,0.0,
2006-09-25,0.0,
2006-09-26,0.0,
2006-09-27,0.0,
2006-09-28,0.0,
2006-09-29,0.0,
2006-09-30,0.0,
2006-10-01,0.0,
2006-10-02,0.0,
2006-10-03,0.0,
2006-10-04,0.0,
2006-10-05,0.0,
2006-10-06,0.0,
2006-10-07,0.0,
2006-10-08,0.0,
2006-10-09,0.0,
2006-10-10,0.0,
2006-10-11,0.0,
2006-10-12,0.0,
2006-10-13,0.0,
2006-10-14,0.0,
2006-10-15,0.0,
2006-10-16,0.0,
2006-10-17,0.0,
2006-10-18,0.0,
2006-10-19,0.0,
2006-10-20,0.0,
2006-10-21,0.0,
2006-10-22,0.0,
2006-10-23,0.0,
2006-10-24,0.0,
2006-10-25,0.0,
2006-10-26,0.0,
2006-10-27,0.0,
2006-10-28,0.0,
2006-10-29,0.0,
2006-10-30,0.0,
2006-10-31,0.0,
2006-11-01,0.0,
2006-11-02,0.0,
2006-11-03,0.0,
2006-11-04,0.0,
2006-11-05,0.0,
2006-11-06,0.0,
2006-11-07,0.0,
2006-11-08,0.0,
2006-11-09,0.0,
2006-11-10,0.0,
2006-11-11,0.0,
2006-11-12,0.0,
2006-11-13,0.0,
2006-11-14,0.0,
2006-11-15,0.0,
2006-11-16,0.0,
2006-11-17,0.0,
2006-11-18,0.0,
2006-11-19,0.0,
2006-11-20,0.0,
2006-11-21,0.0,
2006-11-22,6.0,
2006-11-23,3.0,
2006-11-24,1.0,
2006-11-25,0.0,
2006-11-26,0.0,
2006-11-27,0.0,
2006-11-28,0.0,
2006-11-29,0.0,
2006-11-30,0.0,
2006-12-01,0.0,
2006-12-02,0.0,
2006-12-03,0.0,
2006-12-04,1.0,
2006-12-05,0.0,
2006-12-06,0.0,
2006-12-07,21.0,
2006-12-08,12.0,
2006-12-09,44.0,
2006-12-10,56.00000000000001,
2006-12-11,45.0,
2006-12-12,42.0,
2006-12-13,39.0,
2006-12-14,36.0,
2006-12-15,34.0,65.0
2006-12-16,34.0,
2006-12-17,35.0,
2006-12-18,32.0,
2006-12-19,32.0,
2006-12-20,28.000000000000004,
2006-12-21,26.0,
2006-12-22,26.0,
2006-12-23,26.0,
2006-12-24,26.0,
2006-12-25,26.0,
2006-12-26,26.0,
2006-12-27,26.0,
2006-12-28,26.0,
2006-12-29,26.0,65.0
2006-12-30,26.0,
2006-12-31,26.0,
2007-01-01,26.0,
2007-01-02,27.0,
2007-01-03,30.0,
2007-01-04,28.000000000000004,
2007-01-05,28.000000000000004,
2007-01-06,27.0,
2007-01-07,26.0,
2007-01-08,26.0,
2007-01-09,26.0,
2007-01-10,26.0,
2007-01-11,25.0,
2007-01-12,25.0,
2007-01-13,25.0,
2007-01-14,24.0,
2007-01-15,25.0,72.0
2007-01-16,25.0,
2007-01-17,25.0,
2007-01-18,25.0,
2007-01-19,25.0,
2007-01-20,23.0,
2007-01-21,23.0,
2007-01-22,22.0,
2007-01-23,45.0,
2007-01-24,90.0,
2007-01-25,77.0,
2007-01-26,81.0,
2007-01-27,75.0,
2007-01-28,70.0,
2007-01-29,70.0,
2007-01-30,62.0,139.0
2007-01-31,56.99999999999999,
2007-02-01,59.0,
2007-02-02,59.0,
2007-02-03,56.00000000000001,
