date,hs,swe_obs
1969-08-01,0.0,
1969-08-02,0.0,
1969-08-03,0.0,
1969-08-04,0.0,
1969-08-05,0.0,
1969-08-06,0.0,
1969-08-07,0.0,
1969-08-08,0.0,
1969-08-09,0.0,
1969-08-10,0.0,
1969-08-11,0.0,
1969-08-12,0.0,
1969-08-13,0.0,
1969-08-14,0.0,
1969-08-15,0.0,
1969-08-16,0.0,
1969-08-17,0.0,
1969-08-18,0.0,
1969-08-19,0.0,
1969-08-20,0.0,
1969-08-21,0.0,
1969-08-22,0.0,
1969-08-23,0.0,
1969-08-24,0.0,
1969-08-25,0.0,
1969-08-26,0.0,
1969-08-27,0.0,
1969-08-28,0.0,
1969-08-29,0.0,
1969-08-30,0.0,
1969-08-31,0.0,
1969-09-01,0.0,
1969-09-02,0.0,
1969-09-03,0.0,
1969-09-04,0.0,
1969-09-05,0.0,
1969-09-06,0.0,
1969-09-07,0.0,
1969-09-08,0.0,
1969-09-09,0.0,
1969-09-10,0.0,
1969-09-11,0.0,
1969-09-12,0.0,
1969-09-13,0.0,
1969-09-14,0.0,
1969-09-15,0.0,
1969-09-16,0.0,
1969-09-17,0.0,
1969-09-18,0.0,
1969-09-19,0.0,
1969-09-20,0.0,
1969-09-21,0.0,
1969-09-22,0.0,
1969-09-23,0.0,
1969-09-24,0.0,
1969-09-25,0.0,
1969-09-26,0.0,
1969-09-27,0.0,
1969-09-28,0.0,
1969-09-29,0.0,
1969-09-30,0.0,
1969-10-01,0.0,
1969-10-02,0.0,
1969-10-03,0.0,
1969-10-04,0.0,
1969-10-05,0.0,
1969-10-06,0.0,
1969-10-07,0.0,
1969-10-08,0.0,
1969-10-09,0.0,
1969-10-10,0.0,
1969-10-11,0.0,
1969-10-12,0.0,
1969-10-13,0.0,
1969-10-14,0.0,
1969-10-15,0.0,
1969-10-16,0.0,
1969-10-17,0.0,
1969-10-18,0.0,
1969-10-19,0.0,
1969-10-20,0.0,
1969-10-21,0.0,
1969-10-22,0.0,
1969-10-23,0.0,
1969-10-24,0.0,
1969-10-25,0.0,
1969-10-26,0.0,
1969-10-27,0.0,
1969-10-28,0.0,
1969-10-29,0.0,
1969-10-30,0.0,
1969-10-31,0.0,
1969-11-01,0.0,
1969-11-02,0.0,
1969-11-03,0.0,
1969-11-04,0.0,
1969-11-05,0.0,
1969-11-06,0.0,
1969-11-07,0.0,
1969-11-08,0.0,
1969-11-09,4.0,
1969-11-10,3.0,
1969-11-11,0.0,
1969-11-12,0.0,
1969-11-13,0.0,
1969-11-14,0.0,
1969-11-15,0.0,
1969-11-16,6.0,
1969-11-17,5.0,
1969-11-18,5.0,
1969-11-19,18.0,
1969-11-20,15.0,
1969-11-21,10.0,
1969-11-22,9.0,
1969-11-23,8.0,
1969-11-24,6.0,
1969-11-25,4.0,
1969-11-26,3.0,
1969-11-27,10.0,
1969-11-28,10.0,
1969-11-29,9.0,
1969-11-30,9.0,
1969-12-01,10.0,
1969-12-02,8.0,
1969-12-03,8.0,
1969-12-04,8.0,
1969-12-05,8.0,
1969-12-06,10.0,
1969-12-07,10.0,
1969-12-08,10.0,
1969-12-09,9.0,
1969-12-10,9.0,
1969-12-11,9.0,
1969-12-12,9.0,
1969-12-13,9.0,
1969-12-14,9.0,
1969-12-15,9.0,
1969-12-16,9.0,
1969-12-17,11.0,
1969-12-18,10.0,
1969-12-19,10.0,
1969-12-20,13.0,
1969-12-21,12.0,
1969-12-22,11.0,
1969-12-23,11.0,
1969-12-24,11.0,
1969-12-25,10.0,
1969-12-26,11.0,
1969-12-27,11.0,
1969-12-28,11.0,
1969-12-29,11.0,
1969-12-30,11.0,
1969-12-31,11.0,
1970-01-01,15.0,
1970-01-02,14.000000000000002,
1970-01-03,14.000000000000002,21.0
1970-01-04,14.000000000000002,
1970-01-05,27.0,
1970-01-06,35.0,
1970-01-07,34.0,
1970-01-08,31.0,
1970-01-09,30.0,
1970-01-10,35.0,
1970-01-11,45.0,
1970-01-12,55.00000000000001,
1970-01-13,54.0,
1970-01-14,50.0,73.0
1970-01-15,50.0,
1970-01-16,55.00000000000001,
1970-01-17,53.0,
1970-01-18,52.0,
1970-01-19,50.0,
1970-01-20,48.0,
1970-01-21,48.0,
1970-01-22,48.0,
1970-01-23,46.0,
1970-01-24,45.0,
1970-01-25,44.0,
