date,hs,swe_obs
2016-09-01,0.0,
2016-09-02,0.0,
2016-09-03,0.0,
2016-09-04,0.0,
2016-09-05,0.0,
2016-09-06,0.0,
2016-09-07,0.0,
2016-09-08,0.0,
2016-09-09,0.0,
2016-09-10,0.0,
2016-09-11,0.0,
2016-09-12,0.0,
2016-09-13,0.0,
2016-09-14,0.0,
2016-09-15,0.0,
2016-09-16,0.0,
2016-09-17,1.0,
2016-09-18,0.0,
2016-09-19,1.0,
2016-09-20,0.0,
2016-09-21,0.0,
2016-09-22,0.0,
2016-09-23,0.0,
2016-09-24,0.0,
2016-09-25,0.0,
2016-09-26,0.0,
2016-09-27,0.0,
2016-09-28,0.0,
2016-09-29,0.0,
2016-09-30,0.0,
2016-10-01,0.0,
2016-10-02,0.0,
2016-10-03,2.0,
2016-10-04,0.0,
2016-10-05,0.0,
2016-10-06,0.0,
2016-10-07,0.0,
2016-10-08,0.0,
2016-10-09,1.0,
2016-10-10,7.000000000000001,
2016-10-11,5.0,
2016-10-12,8.0,
2016-10-13,5.0,
2016-10-14,1.0,
2016-10-15,1.0,
2016-10-16,0.0,
2016-10-17,0.0,
2016-10-18,4.0,
2016-10-19,0.0,
2016-10-20,1.0,
2016-10-21,0.0,
2016-10-22,2.0,
2016-10-23,0.0,
2016-10-24,0.0,
2016-10-25,0.0,
2016-10-26,0.0,
2016-10-27,1.0,
2016-10-28,0.0,
2016-10-29,0.0,
2016-10-30,0.0,
2016-10-31,0.0,
2016-11-01,0.0,
2016-11-02,0.0,
2016-11-03,0.0,
2016-11-04,0.0,
2016-11-05,0.0,
2016-11-06,5.0,
2016-11-07,33.0,
2016-11-08,35.0,
2016-11-09,23.0,
2016-11-10,26.0,
2016-11-11,39.0,
2016-11-12,37.0,
2016-11-13,38.0,
2016-11-14,35.0,
2016-11-15,33.0,55.8
2016-11-16,31.0,
2016-11-17,26.0,
2016-11-18,24.0,
2016-11-19,32.0,
2016-11-20,35.0,
2016-11-21,31.0,
2016-11-22,30.0,
2016-11-23,28.999999999999996,
2016-11-24,28.000000000000004,
2016-11-25,27.0,
2016-11-26,28.000000000000004,
2016-11-27,33.0,
2016-11-28,33.0,
2016-11-29,33.0,
2016-11-30,32.0,
2016-12-01,33.0,81.8
2016-12-02,33.0,
2016-12-03,32.0,
2016-12-04,31.0,
2016-12-05,31.0,
2016-12-06,31.0,
2016-12-07,30.0,
2016-12-08,30.0,
2016-12-09,30.0,
2016-12-10,30.0,
2016-12-11,30.0,
2016-12-12,30.0,
2016-12-13,30.0,84.5
2016-12-14,30.0,
2016-12-15,30.0,
2016-12-16,30.0,
2016-12-17,30.0,
2016-12-18,30.0,
2016-12-19,38.0,
2016-12-20,37.0,93.5
2016-12-21,36.0,
2016-12-22,36.0,
2016-12-23,36.0,
2016-12-24,36.0,
2016-12-25,39.0,
2016-12-26,39.0,
2016-12-27,42.0,
2016-12-28,41.0,96.3
2016-12-29,40.0,
2016-12-30,40.0,
2016-12-31,40.0,
2017-01-01,40.0,
2017-01-02,39.0,
2017-01-03,47.0,101.5
2017-01-04,46.0,
2017-01-05,83.0,
2017-01-06,79.0,
2017-01-07,71.0,
2017-01-08,72.0,
2017-01-09,73.0,172.5
2017-01-10,69.0,
2017-01-11,72.0,
2017-01-12,71.0,
2017-01-13,74.0,
2017-01-14,97.0,
2017-01-15,103.0,
2017-01-16,102.0,
2017-01-17,96.0,228.0
2017-01-18,93.0,
2017-01-19,93.0,
2017-01-20,92.0,
2017-01-21,90.0,
2017-01-22,89.0,
2017-01-23,89.0,
2017-01-24,88.0,215.5
2017-01-25,86.0,
2017-01-26,85.0,
2017-01-27,85.0,
2017-01-28,84.0,
2017-01-29,84.0,
2017-01-30,83.0,
2017-01-31,91.0,
2017-02-01,140.0,306.8
2017-02-02,130.0,
2017-02-03,128.0,
2017-02-04,126.0,
2017-02-05,126.0,
2017-02-06,138.0,
2017-02-07,131.0,
2017-02-08,129.0,
2017-02-09,128.0,
2017-02-10,125.0,
2017-02-11,127.0,
2017-02-12,123.0,
2017-02-13,121.0,
2017-02-14,119.0,
2017-02-15,119.0,338.0
2017-02-16,118.0,
2017-02-17,118.0,
2017-02-18,122.0,
2017-02-19,120.0,
2017-02-20,119.0,
2017-02-21,118.0,
2017-02-22,125.0,
2017-02-23,122.0,
2017-02-24,126.0,
2017-02-25,124.0,
2017-02-26,122.0,
2017-02-27,122.0,
2017-02-28,118.0,330.3
2017-03-01,147.0,
2017-03-02,145.0,
2017-03-03,144.0,
2017-03-04,139.0,
2017-03-05,149.0,
2017-03-06,160.0,
2017-03-07,175.0,
2017-03-08,169.0,441.0
2017-03-09,192.0,
2017-03-10,204.99999999999997,
2017-03-11,198.0,
2017-03-12,193.0,
2017-03-13,187.0,
2017-03-14,183.0,529.5
2017-03-15,182.0,
2017-03-16,178.0,
2017-03-17,174.0,
2017-03-18,172.0,
2017-03-19,180.0,
2017-03-20,177.0,
2017-03-21,174.0,546.0
2017-03-22,176.0,
2017-03-23,172.0,
2017-03-24,169.0,
2017-03-25,168.0,
2017-03-26,167.0,
2017-03-27,166.0,
2017-03-28,164.0,535.9
2017-03-29,162.0,
2017-03-30,158.0,
2017-03-31,154.0,
2017-04-01,152.0,
2017-04-02,150.0,
2017-04-03,149.0,
2017-04-04,155.0,525.3
2017-04-05,155.0,
2017-04-06,155.0,
2017-04-07,155.0,
2017-04-08,153.0,
2017-04-09,150.0,
2017-04-10,147.0,537.0
2017-04-11,145.0,
2017-04-12,143.0,
2017-04-13,142.0,
2017-04-14,139.0,
2017-04-15,138.0,
2017-04-16,137.0,
2017-04-17,160.0,
2017-04-18,179.0,
2017-04-19,187.0,597.8
2017-04-20,172.0,
2017-04-21,168.0,
2017-04-22,162.0,
2017-04-23,158.0,
2017-04-24,154.0,
2017-04-25,150.0,
2017-04-26,149.0,
2017-04-27,163.0,
2017-04-28,176.0,
2017-04-29,181.0,
2017-04-30,172.0,
2017-05-01,168.0,627.8
2017-05-02,188.0,
2017-05-03,185.0,
2017-05-04,180.0,
2017-05-05,184.0,
2017-05-06,177.0,
2017-05-07,184.0,
2017-05-08,192.0,
2017-05-09,194.0,
2017-05-10,184.0,
2017-05-11,178.0,
2017-05-12,177.0,
2017-05-13,174.0,
2017-05-14,169.0,
2017-05-15,170.0,672.5
2017-05-16,164.0,
2017-05-17,162.0,
2017-05-18,157.0,
2017-05-19,151.0,
2017-05-20,150.0,
2017-05-21,149.0,
2017-05-22,148.0,
2017-05-23,142.0,
2017-05-24,135.0,
2017-05-25,132.0,
2017-05-26,127.0,
2017-05-27,120.0,
2017-05-28,112.99999999999999,
2017-05-29,105.0,465.8
2017-05-30,99.0,
2017-05-31,92.0,
2017-06-01,82.0,
2017-06-02,77.0,
2017-06-03,72.0,
2017-06-04,68.0,
2017-06-05,65.0,
2017-06-06,61.0,
2017-06-07,59.0,262.0
2017-06-08,57.99999999999999,
2017-06-09,54.0,
