date,hs,swe_obs
2015-08-01,0.0,0.0
2015-08-02,0.0,0.0
2015-08-03,0.0,0.0
2015-08-04,0.0,0.0
2015-08-05,0.0,0.0
2015-08-06,0.0,0.0
2015-08-07,0.0,0.0
2015-08-08,0.0,0.0
2015-08-09,0.0,0.0
2015-08-10,0.0,0.0
2015-08-11,0.0,0.0
2015-08-12,0.0,0.0
2015-08-13,0.0,0.0
2015-08-14,0.0,0.0
2015-08-15,0.0,0.0
2015-08-16,0.0,0.0
2015-08-17,0.0,0.0
2015-08-18,0.0,0.0
2015-08-19,0.0,0.0
2015-08-20,0.0,0.0
2015-08-21,0.0,0.0
2015-08-22,0.0,0.0
2015-08-23,0.0,0.0
2015-08-24,0.0,0.0
2015-08-25,0.0,0.0
2015-08-26,0.0,0.0
2015-08-27,0.0,0.0
2015-08-28,0.0,0.0
2015-08-29,0.0,0.0
2015-08-30,0.0,0.0
2015-08-31,0.0,0.0
2015-09-01,0.0,0.0
2015-09-02,0.0,0.0
2015-09-03,0.0,0.0
2015-09-04,0.0,0.0
2015-09-05,0.0,0.0
2015-09-06,0.0,0.0
2015-09-07,0.0,0.0
2015-09-08,0.0,0.0
2015-09-09,0.0,0.0
2015-09-10,0.0,0.0
2015-09-11,0.0,0.0
2015-09-12,0.0,0.0
2015-09-13,0.0,0.0
2015-09-14,0.0,0.0
2015-09-15,0.0,0.0
2015-09-16,0.0,0.0
2015-09-17,0.0,0.0
2015-09-18,0.0,0.0
2015-09-19,0.0,0.0
2015-09-20,0.0,0.0
2015-09-21,0.0,0.0
2015-09-22,0.0,0.0
2015-09-23,0.0,0.0
2015-09-24,0.0,0.0
2015-09-25,0.0,0.0
2015-09-26,0.0,0.0
2015-09-27,0.0,0.0
2015-09-28,0.0,0.0
2015-09-29,0.0,0.0
2015-09-30,0.0,0.0
2015-10-01,0.0,0.0
2015-10-02,0.0,0.0
2015-10-03,0.0,0.0
2015-10-04,0.0,0.0
2015-10-05,0.0,0.0
2015-10-06,0.0,0.0
2015-10-07,0.0,0.0
2015-10-08,0.0,0.0
2015-10-09,0.0,0.0
2015-10-10,0.0,0.0
2015-10-11,0.0,0.0
2015-10-12,0.0,0.0
2015-10-13,0.0,0.0
2015-10-14,0.0,0.0
2015-10-15,0.11,16.61
2015-10-16,0.13,19.89
2015-10-17,0.13999999999999999,20.74
2015-10-18,0.16999999999999998,26.16
2015-10-19,0.2,30.68
2015-10-20,0.26,39.6
2015-10-21,0.22999999999999998,35.25
2015-10-22,0.25,38.3
2015-10-23,0.22,34.09
2015-10-24,0.16,31.85
2015-10-25,0.16,34.47
2015-10-26,0.13,33.06
2015-10-27,0.13999999999999999,35.12
2015-10-28,0.15,36.65
2015-10-29,0.16999999999999998,43.03
2015-10-30,0.2,30.5
2015-10-31,0.19,38.0
2015-11-01,0.16999999999999998,37.7
2015-11-02,0.16,39.27
2015-11-03,0.16,41.24
2015-11-04,0.16999999999999998,42.18
2015-11-05,0.16,41.58
2015-11-06,0.16,41.41
2015-11-07,0.16999999999999998,43.38
2015-11-08,0.16999999999999998,42.82
2015-11-09,0.16999999999999998,42.57
2015-11-10,0.16,40.14
2015-11-11,0.13,31.76
2015-11-12,0.13999999999999999,35.17
2015-11-13,0.13,32.93
2015-11-14,0.13999999999999999,34.57
2015-11-15,0.13,31.74
2015-11-16,0.15,38.06
2015-11-17,0.13,33.28
2015-11-18,0.12,29.47
2015-11-19,0.22999999999999998,35.51
2015-11-20,0.25,38.45
2015-11-21,0.32,57.82
2015-11-22,0.44999999999999996,77.03
2015-11-23,0.4,80.52
2015-11-24,0.37,82.65
2015-11-25,0.33999999999999997,83.63
2015-11-26,0.33999999999999997,86.05
2015-11-27,0.35000000000000003,90.22
2015-11-28,0.38,95.37
2015-11-29,0.38,96.64
2015-11-30,0.35000000000000003,92.82
2015-12-01,0.38999999999999996,99.7
2015-12-02,0.29,93.72
2015-12-03,0.38,102.89
2015-12-04,0.38,105.23
2015-12-05,0.43,112.96
2015-12-06,0.44999999999999996,118.88
2015-12-07,0.38999999999999996,116.3
2015-12-08,0.36,114.9
2015-12-09,0.4,119.72
2015-12-10,0.35000000000000003,116.78
2015-12-11,0.43,124.65
2015-12-12,0.38999999999999996,123.29
2015-12-13,0.42,127.07
2015-12-14,0.4,127.39
2015-12-15,0.41000000000000003,129.27
2015-12-16,0.42,131.22
2015-12-17,0.44,134.49
2015-12-18,0.5499999999999999,147.92
2015-12-19,0.5499999999999999,152.98
2015-12-20,0.5,150.99
2015-12-21,0.5,153.61
2015-12-22,0.5,154.68
2015-12-23,0.48,154.84
2015-12-24,0.48,155.86
2015-12-25,0.47000000000000003,156.03
