date,hs,swe_obs
2008-08-01,0,
2008-08-02,0,
2008-08-03,0,
2008-08-04,0,
2008-08-05,0,
2008-08-06,0,
2008-08-07,0,
2008-08-08,0,
2008-08-09,0,
2008-08-10,0,
2008-08-11,0,
2008-08-12,0,
2008-08-13,0,
2008-08-14,0,
2008-08-15,0,
2008-08-16,0,
2008-08-17,0,
2008-08-18,0,
2008-08-19,0,
2008-08-20,0,
2008-08-21,0,
2008-08-22,0,
2008-08-23,0,
2008-08-24,0,
2008-08-25,0,
2008-08-26,0,
2008-08-27,0,
2008-08-28,0,
2008-08-29,0,
2008-08-30,0,
2008-08-31,0,
2008-09-01,0,
2008-09-02,0,
2008-09-03,0,
2008-09-04,0,
2008-09-05,0,
2008-09-06,0,
2008-09-07,0,
2008-09-08,0,
2008-09-09,0,
2008-09-10,0,
2008-09-11,0,
2008-09-12,0,
2008-09-13,0,
2008-09-14,0,
2008-09-15,0,
2008-09-16,0,
2008-09-17,0,
2008-09-18,0,
2008-09-19,0,
2008-09-20,0,
2008-09-21,0,
2008-09-22,0,
2008-09-23,0,
2008-09-24,0,
2008-09-25,0,
2008-09-26,0,
2008-09-27,0,
2008-09-28,0,
2008-09-29,0,
2008-09-30,0,
2008-10-01,0,
2008-10-02,0,
2008-10-03,0.02,
2008-10-04,0.07,
2008-10-05,0.12,
2008-10-06,0.05,
2008-10-07,0,
2008-10-08,0,
2008-10-09,0,
2008-10-10,0,
2008-10-11,0,
2008-10-12,0,
2008-10-13,0,
2008-10-14,0,
2008-10-15,0,
2008-10-16,0,
2008-10-17,0,
2008-10-18,0,
2008-10-19,0,
2008-10-20,0,
2008-10-21,0,
2008-10-22,0,
2008-10-23,0,
2008-10-24,0,
2008-10-25,0,
2008-10-26,0,
2008-10-27,0,
2008-10-28,0,
2008-10-29,0,
2008-10-30,0.08,
2008-10-31,0.1,
2008-11-01,0.07,
2008-11-02,0.02,
2008-11-03,0,
2008-11-04,0,
2008-11-05,0,
2008-11-06,0,
2008-11-07,0,
2008-11-08,0,
2008-11-09,0,
2008-11-10,0,
2008-11-11,0,
2008-11-12,0,
2008-11-13,0.09,
2008-11-14,0.09,
2008-11-15,0.09,
2008-11-16,0.09,
2008-11-17,0.04,
2008-11-18,0.05,
2008-11-19,0.05,
2008-11-20,0.05,
2008-11-21,0.05,
2008-11-22,0.64,
2008-11-23,0.65,
2008-11-24,0.58,
2008-11-25,0.53,
2008-11-26,0.5,
2008-11-27,0.5,
2008-11-28,0.48,
2008-11-29,0.44,
2008-11-30,0.46,
2008-12-01,0.46,
2008-12-02,0.51,109
2008-12-03,0.55,
2008-12-04,0.51,
2008-12-05,0.5,
2008-12-06,0.5,
2008-12-07,0.52,
2008-12-08,0.51,
2008-12-09,0.51,
2008-12-10,0.51,
2008-12-11,0.52,
2008-12-12,0.53,
2008-12-13,0.55,
2008-12-14,0.52,
2008-12-15,0.5,130
2008-12-16,0.5,
2008-12-17,0.49,
2008-12-18,0.5,
2008-12-19,0.5,
2008-12-20,0.56,
2008-12-21,0.75,
2008-12-22,0.7,
2008-12-23,0.65,
2008-12-24,0.65,
2008-12-25,0.65,
2008-12-26,0.65,
2008-12-27,0.65,
2008-12-28,0.65,
2008-12-29,0.65,
2008-12-30,0.65,
2008-12-31,0.65,176
2009-01-01,0.7,
2009-01-02,0.69,
2009-01-03,0.69,
2009-01-04,0.69,
2009-01-05,0.68,
2009-01-06,0.69,
2009-01-07,0.68,
2009-01-08,0.68,
2009-01-09,0.68,
2009-01-10,0.68,
2009-01-11,0.67,
2009-01-12,0.67,
2009-01-13,0.67,
2009-01-14,0.67,
2009-01-15,0.67,169
2009-01-16,0.67,
2009-01-17,0.67,
2009-01-18,0.67,
2009-01-19,0.7,
2009-01-20,0.75,
2009-01-21,1,
2009-01-22,1,
2009-01-23,1,
2009-01-24,1.15,
2009-01-25,1,
2009-01-26,0.96,
2009-01-27,0.93,
2009-01-28,0.91,
2009-01-29,0.91,
2009-01-30,0.9,
2009-01-31,0.9,
2009-02-01,0.9,
2009-02-02,0.89,
2009-02-03,0.89,230
2009-02-04,0.88,
2009-02-05,0.88,
2009-02-06,0.86,
2009-02-07,0.85,
2009-02-08,0.88,
2009-02-09,0.88,
2009-02-10,0.89,
2009-02-11,0.93,
2009-02-12,0.92,
2009-02-13,0.91,261
2009-02-14,0.9,
2009-02-15,0.91,
2009-02-16,0.91,
2009-02-17,1.01,
2009-02-18,1.32,
2009-02-19,1.26,
2009-02-20,1.26,
2009-02-21,1.25,
2009-02-22,1.21,
2009-02-23,1.23,
2009-02-24,1.25,
2009-02-25,1.2,
2009-02-26,1.21,
2009-02-27,1.25,
2009-02-28,1.21,
2009-03-01,1.11,
2009-03-02,1.1,313
2009-03-03,1.1,
2009-03-04,1.06,
