Station,Easting (m),Northing (m),Altitude (m.a.s.l.)
SLF.1AD,609920,149820,1350
SLF.1GA,669830,176570,1190
SLF.1GB,646910,166410,1565
SLF.1GS,587680,136130,1195
SLF.1GT,600100,174050,1510
SLF.1LS,566970,132170,1250
SLF.1MR,634625,156450,1650
SLF.1SM,589170,151950,1390
SLF.1WE,636980,161800,1280
SLF.2SO,644980,186210,1150
SLF.2ST,694040,203320,1280
SLF.3BR,718000,199725,1310
SLF.3MB,764700,219180,1610
SLF.3MG,757370,205470,1190
SLF.4BN,657520,135080,1410
SLF.4BP,582140,88305,1670
SLF.4FY,589970,97770,1500
SLF.4GR,610910,114820,1560
SLF.4LA,625850,140100,1975
SLF.4MO,602960,129160,1590
SLF.4MS,663420,148900,1410
SLF.4SF,637710,105860,1790
SLF.4SM,647660,116350,1470
SLF.4UL,666750,150765,1350
SLF.4WI,626350,139080,1405
SLF.5BI,769910,148800,1770
SLF.5DF,783800,187400,1560
SLF.5JU,764390,146040,2117
SLF.5OB,727730,178670,1420
SLF.5PU,772770,206100,940
SLF.5SA,782250,205320,1510
SLF.5SE,701770,170660,1420
SLF.5SP,744925,157670,1457
SLF.5VA,733340,164250,1260
SLF.5WJ,780845,189230,2540
SLF.6BG,681300,130150,1530
SLF.6SB,734110,147290,1640
SLF.7MA,773920,142075,1800
SLF.7MZ,784010,152490,1890
SLF.7SN,824980,205290,1750
SLF.7ZU,793350,164590,1710
