short_name	long_name	altitude
SLF.1AD	Adelboden	1325
SLF.1GA	Gadmen	1190
SLF.1GB	Grindelwald Bort	1565
SLF.1GS	Gsteig	1190
SLF.1GT	Gantrisch	1510
SLF.1LS	Leysin	1300
SLD.1MR	Mürren	1650
SLF.1SM	Saanenmöser	1390
SLF.1WE	Wengen	1280
SLF.2SO	Sörenberg	1150
SLF.2ST	Stoos	1280
SLF.3BR	Braunwald	1310
SLF.3MB	Malbun	1610
SLF.3MG	St.Margrethenberg	1190
SLF.4BN	Binn	1410
SLF.4BP	Bourg-St-Pierre	1670
SLF.4FY	Fionnay	1500
SLF.4GR	Grimentz	1560
SLF.4LA	Lauchernalp	1975
SLF.4MO	Montana	1590
SLF.4MS	Münster	1430
SLF.4SF	Saas Fee	1790
SLF.4SM	Simplon Dorf	1470
SLF.4UL	Ulrichen	
SLF.4WI	Wiler	1450
SLF.5BI	Bivio	1770
SLF.5DF	Davos Flueelastr.	1560
SLF.5JU	Juf	2117
SLF.5OB	Obersaxen	1420
SLF.5PU	Pusserein	942
SLF.5SA	St.Antönien	1510
SLF.5SE	Sedrun	1420
SLF.5SP	Splügen	1457
SLF.5VA	Vals	1260
SLF.5.WJ	Weisfluh Joch 	2540
SLF.6BG	Bosco Gurin	1525
SLF.6SB	San Bernadino	
SLF.7MA 	Maloja	1810
SLF.7MZ	SanktMOritz	1850
SLF.7SN	Samnaun	1750
SLF.7ZU	Zuoz	1710
