No.	Station name	Long [∘]	Lat [∘]	Alt. [m]	#calSWE	#valSWE	Calibration seasonsa	Validation seasonsa
1	Holzgau	10,3333	47,25	1100	116	100	7 odd in 1999–2011	7 even in 1998–2010
2	Ladis	10,6492	47,0969	1350	83	66	7 odd in 1999–2011	6 even in 1998–2010b
3	Obernberg	11,4292	47,0194	1360	105	88	7 odd in 1999–2011	7 even in 1998–2010
4	Koessen	12,4028	47,6717	590	87	70	7 odd in 1999–2011	6 even in 1998–2010b
5	Felbertauern	12,5056	47,1181	1650	126	114	7 odd in 1999–2011	7 even in 1998–2010
6	Innervillgraten	12,375	46,8083	1400	96	115	7 odd in 1999–2011	7 even in 1998–2010
7	Muerren	7,890193	46,55818	1650	37	27	2009, 2012, 2015, 2017	2006, 2011, 2014, 2016
8	Truebsee	8,395291	46,79121	1780	4	11	2016	2015, 2017
9	Ulrichen	8,308283	46,50461	1350	24	23	2009, 2013, 2015, 2017	2007, 2011, 2014, 2016
10	Zermatt	7,751165	46,0234	1600	47	76	1961, 1963 and	3 even 1960–1964,
							7 even in 2004–2016	7 odd in 2005–2017
11	Davos Flueelastr.	9,848163	46,81255	1560	8	19	2012	2008, 2017
12	Klosters KW	9,895973	46,86058	1200	12	22	1999	1998, 2017
13	San Bernardino	9,184634	46,46326	1640	11	14	2007	2006, 2014
14	Sta. Maria	10,419344	46,59981	1415	0	8	–	1969
15	Zuoz	9,962676	46,60433	1710	24	21	2011, 2013, 2015, 2017	2006, 2012, 2014, 2016
∑					780	774	67	71
