iteration,rmse,bias,rho.max,rho.null,c.ov,k.ov,k.exp,tau,eta.null
1,40.69128283756524,20.899241101035724,425.0,100.0,0.0005000005,0.505,0.10499999999999998,0.03,5000000.0
2,40.69128283756524,20.899241101035724,425.00001,100.0,0.0005000005,0.505,0.10499999999999998,0.03,5000000.0
3,40.684462408159455,20.897500725109495,425.0,100.00001,0.0005000005,0.505,0.10499999999999998,0.03,5000000.0
4,40.69058157260024,20.898185337683525,425.0,100.0,0.00050000051,0.505,0.10499999999999998,0.03,5000000.0
5,40.69501019654478,20.901360715923897,425.0,100.0,0.0005000005,0.50500001,0.10499999999999998,0.03,5000000.0
6,40.69128283756524,20.899241101035724,425.0,100.0,0.0005000005,0.505,0.10500000099999998,0.03,5000000.0
7,40.68831519089804,20.90282228164842,425.0,100.0,0.0005000005,0.505,0.10499999999999998,0.030000001,5000000.0
8,40.69434291698018,20.903555913623535,425.0,100.0,0.0005000005,0.505,0.10499999999999998,0.03,5000000.100000001
9,82.1500243257351,58.19844729569368,425.0,130.0,0.001,0.01,0.10499999999999998,0.06,1000000.0
10,82.1500243257351,58.19844729569368,425.00001,130.0,0.001,0.01,0.10499999999999998,0.06,1000000.0
11,82.14497443657135,58.18908049235278,425.0,129.99999,0.001,0.01,0.10499999999999998,0.06,1000000.0
12,82.16169477366577,58.21058769269796,425.0,130.0,0.00099999999,0.01,0.10499999999999998,0.06,1000000.0
13,82.15865025970706,58.20958690488723,425.0,130.0,0.001,0.01000001,0.10499999999999998,0.06,1000000.0
14,82.1500243257351,58.19844729569368,425.0,130.0,0.001,0.01,0.10500000099999998,0.06,1000000.0
15,82.1462890790116,58.19852097378686,425.0,130.0,0.001,0.01,0.10499999999999998,0.059999999,1000000.0
16,82.11903020026341,58.173304389774835,425.0,130.0,0.001,0.01,0.10499999999999998,0.06,1000000.1
17,58.34173791162217,37.08518612877594,425.0,114.12631935446014,0.0007354389204690127,0.271915730651408,0.10499999999999998,0.044126319354460125,3116490.7527386504
18,58.34173791162217,37.08518612877594,425.00001,114.12631935446014,0.0007354389204690127,0.271915730651408,0.10499999999999998,0.044126319354460125,3116490.7527386504
19,58.34174275324238,37.0851914538099,425.0,114.12632935446013,0.0007354389204690127,0.271915730651408,0.10499999999999998,0.044126319354460125,3116490.7527386504
20,58.341738122007015,37.08518629912898,425.0,114.12631935446014,0.0007354389304690128,0.271915730651408,0.10499999999999998,0.044126319354460125,3116490.7527386504
