"file","station","season","parameter","mu_star","sigma"
"Adelboden_2018_2019.csv","Adelboden","2018_2019","rho.max",25.902279164833,26.8298546725789
"Adelboden_2018_2019.csv","Adelboden","2018_2019","rho.null",62.2776567013198,70.8954090518388
"Adelboden_2018_2019.csv","Adelboden","2018_2019","c.ov",10.2469201531572,12.8753808364087
"Adelboden_2018_2019.csv","Adelboden","2018_2019","k.ov",2.20383830456594,3.57270959838298
"Adelboden_2018_2019.csv","Adelboden","2018_2019","k",12.601384382491,23.7127911662508
"Adelboden_2018_2019.csv","Adelboden","2018_2019","tau",30.5507876092734,40.4654544584033
"Adelboden_2018_2019.csv","Adelboden","2018_2019","eta.null",12.6128048356963,24.6322706784551
"Adelboden_2020_2021.csv","Adelboden","2020_2021","rho.max",15.822958632309,15.0951544330705
"Adelboden_2020_2021.csv","Adelboden","2020_2021","rho.null",32.5679487706046,35.4100638654816
"Adelboden_2020_2021.csv","Adelboden","2020_2021","c.ov",2.78932244476078,3.92521400617341
"Adelboden_2020_2021.csv","Adelboden","2020_2021","k.ov",0.767805457627163,1.43478445108547
"Adelboden_2020_2021.csv","Adelboden","2020_2021","k",6.11833727147962,11.5789192773018
"Adelboden_2020_2021.csv","Adelboden","2020_2021","tau",32.7140076675,34.4141193385806
"Adelboden_2020_2021.csv","Adelboden","2020_2021","eta.null",7.63315845222134,16.1228067110257
"Adelboden_2021_2022.csv","Adelboden","2021_2022","rho.max",15.7289840065686,13.5157305304646
"Adelboden_2021_2022.csv","Adelboden","2021_2022","rho.null",42.9639973548159,44.4893435771899
"Adelboden_2021_2022.csv","Adelboden","2021_2022","c.ov",1.90338263767043,2.37861667872014
"Adelboden_2021_2022.csv","Adelboden","2021_2022","k.ov",1.04145710886105,2.48285489458164
"Adelboden_2021_2022.csv","Adelboden","2021_2022","k",7.15869554309752,16.3261965439201
"Adelboden_2021_2022.csv","Adelboden","2021_2022","tau",21.2824607499123,24.6437595274789
"Adelboden_2021_2022.csv","Adelboden","2021_2022","eta.null",6.50673686023066,15.2008833346921
"Bivio_2016_2017.csv","Bivio","2016_2017","rho.max",20.0298504754976,29.6892580783205
"Bivio_2016_2017.csv","Bivio","2016_2017","rho.null",81.8231847910872,90.052292452709
"Bivio_2016_2017.csv","Bivio","2016_2017","c.ov",8.21067783374066,11.646455160774
