time,hs,swe_obs
2017-11-01,0.0,
2017-11-02,0.0,
2017-11-03,0.0,
2017-11-04,0.0,
2017-11-05,0.0,
2017-11-06,0.15,
2017-11-07,0.14,
2017-11-08,0.07,
2017-11-09,0.1,
2017-11-10,0.07,
2017-11-11,0.06,
2017-11-12,0.05,
2017-11-13,0.33,
2017-11-14,0.26,
2017-11-15,0.23,37.0
2017-11-16,0.2,
2017-11-17,0.16,
2017-11-18,0.15,
2017-11-19,0.13,
2017-11-20,0.18,
2017-11-21,0.16,
2017-11-22,0.14,
2017-11-23,0.13,
2017-11-24,0.12,
2017-11-25,0.1,
2017-11-26,0.22,
2017-11-27,0.17,
2017-11-28,0.15,
2017-11-29,0.15,
2017-11-30,0.21,37.0
2017-12-01,0.19,
2017-12-02,0.19,
2017-12-03,0.18,
2017-12-04,0.17,
2017-12-05,0.17,
2017-12-06,0.17,
2017-12-07,0.17,
2017-12-08,0.25,
2017-12-09,0.35,
2017-12-10,0.34,
2017-12-11,0.41,
2017-12-12,0.4,
2017-12-13,0.44,
2017-12-14,0.42,
2017-12-15,0.55,102.0
2017-12-16,0.52,
2017-12-17,0.55,
2017-12-18,0.53,
2017-12-19,0.65,
2017-12-20,0.6,
2017-12-21,0.55,
2017-12-22,0.53,
2017-12-23,0.51,
2017-12-24,0.5,
2017-12-25,0.48,
2017-12-26,0.46,
2017-12-27,0.46,
2017-12-28,0.55,
2017-12-29,0.52,
2017-12-30,0.66,
2017-12-31,0.54,132.0
2018-01-01,0.54,
2018-01-02,0.65,
2018-01-03,0.6,
2018-01-04,0.59,
2018-01-05,0.51,
2018-01-06,0.48,
2018-01-07,0.46,
2018-01-08,0.43,
2018-01-09,0.9,
2018-01-10,0.78,
2018-01-11,0.72,
2018-01-12,0.7,
2018-01-13,0.67,
2018-01-14,0.65,204.0
2018-01-15,0.63,
2018-01-16,0.64,
2018-01-17,0.7,
2018-01-18,0.8,
2018-01-19,0.91,
2018-01-20,0.85,
2018-01-21,0.95,
2018-01-22,1.02,
2018-01-23,0.9,
2018-01-24,0.8,
2018-01-25,0.8,
2018-01-26,0.78,
2018-01-27,0.76,
2018-01-28,0.76,249.0
2018-01-29,0.74,
2018-01-30,0.74,
2018-01-31,0.74,
2018-02-01,0.7,
2018-02-02,0.76,
2018-02-03,0.76,
2018-02-04,0.75,
2018-02-05,0.74,
2018-02-06,0.7,
2018-02-07,0.7,
2018-02-08,0.69,
2018-02-09,0.69,
2018-02-10,0.68,
2018-02-11,0.68,
2018-02-12,0.79,
2018-02-13,0.83,
2018-02-14,0.8,
2018-02-15,0.78,
2018-02-16,0.79,257.0
2018-02-17,0.73,
2018-02-18,0.77,
2018-02-19,0.75,
2018-02-20,0.74,
2018-02-21,0.74,
2018-02-22,0.72,
2018-02-23,0.71,
2018-02-24,0.72,
2018-02-25,0.7,263.0
2018-02-26,0.7,
2018-02-27,0.7,
2018-02-28,0.7,
2018-03-01,0.68,
2018-03-02,0.68,
2018-03-03,0.76,
2018-03-04,0.75,
2018-03-05,0.71,
2018-03-06,0.7,
2018-03-07,0.76,
2018-03-08,0.72,
2018-03-09,0.7,
2018-03-10,0.67,
2018-03-11,0.63,245.0
2018-03-12,0.62,
2018-03-13,0.84,
2018-03-14,0.7,
2018-03-15,0.64,
2018-03-16,0.64,
2018-03-17,0.63,
2018-03-18,0.7,
2018-03-19,0.7,
2018-03-20,0.7,
2018-03-21,0.7,
2018-03-22,0.66,
2018-03-23,0.66,
2018-03-24,0.65,
2018-03-25,0.61,
2018-03-26,0.6,
2018-03-27,0.6,
2018-03-28,0.66,
2018-03-29,0.6,
2018-03-30,0.54,
2018-03-31,0.67,240.0
2018-04-01,0.62,
2018-04-02,0.57,
2018-04-03,0.54,
2018-04-04,0.48,
2018-04-05,0.5,
2018-04-06,0.41,
2018-04-07,0.34,
2018-04-08,0.2,
2018-04-09,0.2,
2018-04-10,0.15,
2018-04-11,0.11,
2018-04-12,0.1,
2018-04-13,0.13,
2018-04-14,0.05,
2018-04-15,0.0,
2018-04-16,0.0,
2018-04-17,0.0,
2018-04-18,0.0,
2018-04-19,0.0,
2018-04-20,0.0,
2018-04-21,0.0,
2018-04-22,0.0,
2018-04-23,0.0,
2018-04-24,0.0,
2018-04-25,0.0,
2018-04-26,0.0,
2018-04-27,0.0,
2018-04-28,0.0,
2018-04-29,0.0,
2018-04-30,0.02,
