time,hs,swe_obs
2017-11-01,0.0,
2017-11-02,0.0,
2017-11-03,0.0,
2017-11-04,0.0,
2017-11-05,0.0,
2017-11-06,0.23,
2017-11-07,0.21,
2017-11-08,0.21,
2017-11-09,0.17,
2017-11-10,0.16,
2017-11-11,0.11,
2017-11-12,0.0,
2017-11-13,0.33,
2017-11-14,0.33,
2017-11-15,0.28,29.0
2017-11-16,0.24,
2017-11-17,0.19,
2017-11-18,0.18,
2017-11-19,0.27,
2017-11-20,0.29,
2017-11-21,0.26,
2017-11-22,0.23,
2017-11-23,0.21,
2017-11-24,0.2,
2017-11-25,0.16,
2017-11-26,0.35,
2017-11-27,0.28,
2017-11-28,0.24,
2017-11-29,0.23,
2017-11-30,0.35,
2017-12-01,0.33,
2017-12-02,0.32,53.0
2017-12-03,0.3,
2017-12-04,0.33,
2017-12-05,0.38,
2017-12-06,0.33,
2017-12-07,0.3,
2017-12-08,0.29,
2017-12-09,0.62,
2017-12-10,0.53,
2017-12-11,0.57,
2017-12-12,0.6,
2017-12-13,0.58,
2017-12-14,0.53,
2017-12-15,0.96,
2017-12-16,0.82,148.0
2017-12-17,1.08,
2017-12-18,0.95,
2017-12-19,0.97,
2017-12-20,0.9,
2017-12-21,0.84,
2017-12-22,0.8,
2017-12-23,0.73,
2017-12-24,0.71,
2017-12-25,0.69,
2017-12-26,0.67,
2017-12-27,0.66,
2017-12-28,0.87,
2017-12-29,0.91,
2017-12-30,1.01,
2017-12-31,0.78,228.0
2018-01-01,0.82,
2018-01-02,0.78,
2018-01-03,0.75,
2018-01-04,0.88,
2018-01-05,0.69,
2018-01-06,0.67,
2018-01-07,0.64,
2018-01-08,0.62,
2018-01-09,0.55,
2018-01-10,0.54,
2018-01-11,0.53,
2018-01-12,0.54,
2018-01-13,0.52,
2018-01-14,0.52,175.0
2018-01-15,0.52,
2018-01-16,0.58,
2018-01-17,0.86,
2018-01-18,1.0,
2018-01-19,0.92,
2018-01-20,1.28,
2018-01-21,1.18,
2018-01-22,1.28,
2018-01-23,1.24,
2018-01-24,1.17,
2018-01-25,1.12,
2018-01-26,1.09,
2018-01-27,1.08,
2018-01-28,1.06,
2018-01-29,1.04,
2018-01-30,1.02,
2018-01-31,1.01,356.0
2018-02-01,1.01,
2018-02-02,1.12,
2018-02-03,1.09,
2018-02-04,1.09,
2018-02-05,1.07,
2018-02-06,1.06,
2018-02-07,1.05,
2018-02-08,1.06,
2018-02-09,1.05,
2018-02-10,1.04,
2018-02-11,1.05,
2018-02-12,1.2,
2018-02-13,1.24,391.0
2018-02-14,1.2,
2018-02-15,1.18,
2018-02-16,1.18,
2018-02-17,1.14,
2018-02-18,1.17,
2018-02-19,1.14,
2018-02-20,1.14,
2018-02-21,1.17,
2018-02-22,1.17,
2018-02-23,1.16,
2018-02-24,1.14,
2018-02-25,1.12,
2018-02-26,1.2,
2018-02-27,1.16,
2018-02-28,1.14,436.0
2018-03-01,1.14,
2018-03-02,1.12,
2018-03-03,1.14,
2018-03-04,1.15,
2018-03-05,1.12,
2018-03-06,1.1,
2018-03-07,1.15,
2018-03-08,1.26,
2018-03-09,1.16,
2018-03-10,1.13,
2018-03-11,1.09,
2018-03-12,1.06,
2018-03-13,1.05,
2018-03-14,1.12,
2018-03-15,1.05,434.0
2018-03-16,1.04,
2018-03-17,1.0,
2018-03-18,1.03,
2018-03-19,1.07,
2018-03-20,1.09,
2018-03-21,1.11,
2018-03-22,1.08,
2018-03-23,1.16,
2018-03-24,1.04,
2018-03-25,1.03,
2018-03-26,1.0,
2018-03-27,1.09,
2018-03-28,1.08,
2018-03-29,1.01,
2018-03-30,1.01,
2018-03-31,1.43,
2018-04-01,1.51,502.0
2018-04-02,1.42,
2018-04-03,1.24,
2018-04-04,1.05,
2018-04-05,0.99,
2018-04-06,0.97,
2018-04-07,0.95,
2018-04-08,0.89,
2018-04-09,0.81,
2018-04-10,0.75,
2018-04-11,0.68,
2018-04-12,0.65,
2018-04-13,0.61,
2018-04-14,0.55,268.0
2018-04-15,0.51,
2018-04-16,0.46,
2018-04-17,0.42,
2018-04-18,0.35,
2018-04-19,0.26,
2018-04-20,0.16,
2018-04-21,0.0,
2018-04-22,0.0,
2018-04-23,0.0,
2018-04-24,0.0,
2018-04-25,0.0,
2018-04-26,0.0,
2018-04-27,0.0,
2018-04-28,0.0,
2018-04-29,0.0,
2018-04-30,0.0,
