time,hs,swe_obs
2001-11-01,0.0,
2001-11-02,0.0,
2001-11-03,0.0,
2001-11-04,0.0,
2001-11-05,0.0,
2001-11-06,0.0,
2001-11-07,0.0,
2001-11-08,0.0,
2001-11-09,0.14,
2001-11-10,0.19,
2001-11-11,0.08,
2001-11-12,0.04,
2001-11-13,0.01,
2001-11-14,0.04,
2001-11-15,0.0,
2001-11-16,0.0,
2001-11-17,0.0,
2001-11-18,0.0,
2001-11-19,0.0,
2001-11-20,0.0,
2001-11-21,0.0,
2001-11-22,0.0,
2001-11-23,0.15,
2001-11-24,0.2,
2001-11-25,0.28,
2001-11-26,0.5,
2001-11-27,0.43,
2001-11-28,0.4,
2001-11-29,0.42,
2001-11-30,0.55,
2001-12-01,0.43,
2001-12-02,0.37,
2001-12-03,0.34,99.0
2001-12-04,0.32,
2001-12-05,0.32,
2001-12-06,0.4,
2001-12-07,0.65,
2001-12-08,0.62,
2001-12-09,0.58,
2001-12-10,0.58,140.0
2001-12-11,0.55,
2001-12-12,0.53,
2001-12-13,0.72,
2001-12-14,0.74,
2001-12-15,0.7,
2001-12-16,0.65,
2001-12-17,0.65,
2001-12-18,0.61,168.0
2001-12-19,0.59,
2001-12-20,0.59,
2001-12-21,0.56,
2001-12-22,0.55,
2001-12-23,0.57,
2001-12-24,0.58,
2001-12-25,0.56,
2001-12-26,0.56,178.0
2001-12-27,0.7,
2001-12-28,0.67,
2001-12-29,0.65,
2001-12-30,0.68,
2001-12-31,0.67,190.0
2002-01-01,0.66,
2002-01-02,0.65,
2002-01-03,0.63,
2002-01-04,0.63,
2002-01-05,0.63,
2002-01-06,0.61,
2002-01-07,0.6,191.0
2002-01-08,0.6,
2002-01-09,0.6,
2002-01-10,0.6,
2002-01-11,0.6,
2002-01-12,0.6,
2002-01-13,0.6,
2002-01-14,0.63,188.0
2002-01-15,0.63,
2002-01-16,0.65,
2002-01-17,0.65,
2002-01-18,0.63,
2002-01-19,0.63,
2002-01-20,0.62,
2002-01-21,0.61,196.0
2002-01-22,0.57,
2002-01-23,0.56,
2002-01-24,0.56,
2002-01-25,0.58,
2002-01-26,0.58,
2002-01-27,0.58,
2002-01-28,0.55,204.0
2002-01-29,0.53,
2002-01-30,0.53,
2002-01-31,0.47,
2002-02-01,0.46,
2002-02-02,0.46,
2002-02-03,0.45,
2002-02-04,0.45,
2002-02-05,0.44,
2002-02-06,0.44,
2002-02-07,0.5,
2002-02-08,0.5,
2002-02-09,0.48,
2002-02-10,0.53,
2002-02-11,0.54,220.0
2002-02-12,0.48,
2002-02-13,0.47,
2002-02-14,0.46,
2002-02-15,0.48,
2002-02-16,0.46,
2002-02-17,0.5,
2002-02-18,0.48,230.0
2002-02-19,0.5,
2002-02-20,0.54,
2002-02-21,0.58,
2002-02-22,0.71,
2002-02-23,0.7,
2002-02-24,0.64,
2002-02-25,0.72,260.0
2002-02-26,0.73,
2002-02-27,0.64,
2002-02-28,0.65,
2002-03-01,0.75,
2002-03-02,0.83,293.0
2002-03-03,0.85,
2002-03-04,0.78,
2002-03-05,0.78,
2002-03-06,0.74,
2002-03-07,0.68,
2002-03-08,0.62,
2002-03-09,0.59,
2002-03-10,0.59,
2002-03-11,0.58,
2002-03-12,0.55,280.0
2002-03-13,0.51,
2002-03-14,0.48,
2002-03-15,0.42,
2002-03-16,0.4,
2002-03-17,0.36,
2002-03-18,0.36,
2002-03-19,0.3,102.0
2002-03-20,0.35,
2002-03-21,0.26,
2002-03-22,0.28,
2002-03-23,0.6,
2002-03-24,0.8,
2002-03-25,0.83,115.0
2002-03-26,0.68,
2002-03-27,0.56,
2002-03-28,0.54,
2002-03-29,0.52,
2002-03-30,0.42,
2002-03-31,0.35,
2002-04-01,0.28,89.0
2002-04-02,0.2,
2002-04-03,0.18,
2002-04-04,0.16,
2002-04-05,0.15,
2002-04-06,0.13,
2002-04-07,0.13,
2002-04-08,0.1,38.0
2002-04-09,0.12,
2002-04-10,0.14,
2002-04-11,0.12,
2002-04-12,0.12,
2002-04-13,0.13,
2002-04-14,0.12,
2002-04-15,0.15,51.0
2002-04-16,0.15,
2002-04-17,0.1,
2002-04-18,0.05,
2002-04-19,0.0,
2002-04-20,0.06,
2002-04-21,0.0,
2002-04-22,0.0,
2002-04-23,0.0,
2002-04-24,0.0,
2002-04-25,0.0,
2002-04-26,0.0,
2002-04-27,0.0,
2002-04-28,0.0,
2002-04-29,0.0,
2002-04-30,0.0,
