time,hs,swe_obs
2017-11-01,0.0,
2017-11-02,0.0,
2017-11-03,0.0,
2017-11-04,0.0,
2017-11-05,0.0,
2017-11-06,0.28,
2017-11-07,0.3,
2017-11-08,0.27,
2017-11-09,0.25,
2017-11-10,0.23,
2017-11-11,0.2,
2017-11-12,0.15,
2017-11-13,0.4,
2017-11-14,0.46,
2017-11-15,0.4,75.0
2017-11-16,0.36,
2017-11-17,0.35,
2017-11-18,0.28,
2017-11-19,0.28,
2017-11-20,0.36,
2017-11-21,0.35,
2017-11-22,0.35,
2017-11-23,0.34,
2017-11-24,0.32,
2017-11-25,0.31,
2017-11-26,0.45,
2017-11-27,0.4,
2017-11-28,0.39,
2017-11-29,0.4,
2017-11-30,0.55,
2017-12-01,0.5,106.0
2017-12-02,0.48,
2017-12-03,0.47,
2017-12-04,0.46,
2017-12-05,0.45,
2017-12-06,0.45,
2017-12-07,0.45,
2017-12-08,0.49,
2017-12-09,0.63,
2017-12-10,0.64,
2017-12-11,0.95,
2017-12-12,0.99,
2017-12-13,0.95,
2017-12-14,0.9,
2017-12-15,0.98,188.0
2017-12-16,0.95,
2017-12-17,0.9,
2017-12-18,1.0,
2017-12-19,1.02,
2017-12-20,0.99,
2017-12-21,0.96,
2017-12-22,0.93,
2017-12-23,0.9,
2017-12-24,0.86,
2017-12-25,0.86,
2017-12-26,0.86,
2017-12-27,0.83,
2017-12-28,0.98,
2017-12-29,0.98,
2017-12-30,1.2,
2017-12-31,1.1,
2018-01-01,1.08,270.0
2018-01-02,1.14,
2018-01-03,1.15,
2018-01-04,1.25,
2018-01-05,1.09,
2018-01-06,1.05,
2018-01-07,0.98,
2018-01-08,0.93,
2018-01-09,1.1,
2018-01-10,1.05,
2018-01-11,1.05,
2018-01-12,1.03,
2018-01-13,1.0,
2018-01-14,1.0,
2018-01-15,1.0,
2018-01-16,1.03,345.0
2018-01-17,1.2,
2018-01-18,1.25,
2018-01-19,1.33,
2018-01-20,1.33,
2018-01-21,1.45,
2018-01-22,1.6,
2018-01-23,1.52,
2018-01-24,1.51,
2018-01-25,1.5,
2018-01-26,1.48,
2018-01-27,1.43,
2018-01-28,1.43,471.0
2018-01-29,1.43,
2018-01-30,1.43,
2018-01-31,1.43,
2018-02-01,1.45,
2018-02-02,1.7,
2018-02-03,1.65,
2018-02-04,1.64,
2018-02-05,1.63,
2018-02-06,1.6,
2018-02-07,1.58,
2018-02-08,1.57,
2018-02-09,1.56,
2018-02-10,1.55,
2018-02-11,1.54,
2018-02-12,1.73,
2018-02-13,1.76,
2018-02-14,1.73,519.0
2018-02-15,1.74,
2018-02-16,1.72,
2018-02-17,1.67,
2018-02-18,1.66,
2018-02-19,1.65,
2018-02-20,1.64,
2018-02-21,1.65,
2018-02-22,1.65,
2018-02-23,1.64,
2018-02-24,1.63,
2018-02-25,1.62,
2018-02-26,1.62,
2018-02-27,1.63,
2018-02-28,1.63,
2018-03-01,1.64,609.0
2018-03-02,1.64,
2018-03-03,1.67,
2018-03-04,1.66,
2018-03-05,1.66,
2018-03-06,1.65,
2018-03-07,1.66,
2018-03-08,1.7,
2018-03-09,1.68,
2018-03-10,1.65,
2018-03-11,1.64,
2018-03-12,1.63,
2018-03-13,1.7,
2018-03-14,1.66,
2018-03-15,1.63,523.0
2018-03-16,1.6,
2018-03-17,1.59,
2018-03-18,1.72,
2018-03-19,1.75,
2018-03-20,1.73,
2018-03-21,1.75,
2018-03-22,1.73,
2018-03-23,1.74,
2018-03-24,1.72,
2018-03-25,1.69,
2018-03-26,1.67,
2018-03-27,1.66,
2018-03-28,1.74,
2018-03-29,1.64,582.0
2018-03-30,1.62,
2018-03-31,1.7,
2018-04-01,1.7,
2018-04-02,1.64,
2018-04-03,1.59,
2018-04-04,1.55,
2018-04-05,1.55,
2018-04-06,1.5,
2018-04-07,1.45,
2018-04-08,1.4,
2018-04-09,1.38,
2018-04-10,1.3,
2018-04-11,1.29,
2018-04-12,1.26,
2018-04-13,1.25,504.0
2018-04-14,1.19,
2018-04-15,1.14,
2018-04-16,1.1,
2018-04-17,1.05,
2018-04-18,0.99,
2018-04-19,0.94,
2018-04-20,0.9,
2018-04-21,0.85,
2018-04-22,0.78,
2018-04-23,0.72,
2018-04-24,0.65,
2018-04-25,0.56,
2018-04-26,0.48,
2018-04-27,0.39,
2018-04-28,0.28,
2018-04-29,0.19,
2018-04-30,0.1,
