time,hs,swe_obs
1998-11-01,0.0,
1998-11-02,0.0,
1998-11-03,0.0,
1998-11-04,0.0,
1998-11-05,0.01,
1998-11-06,0.0,
1998-11-07,0.0,
1998-11-08,0.0,
1998-11-09,0.0,
1998-11-10,0.0,
1998-11-11,0.01,
1998-11-12,0.0,
1998-11-13,0.0,
1998-11-14,0.0,
1998-11-15,0.11,
1998-11-16,0.37,46.0
1998-11-17,0.54,
1998-11-18,0.47,
1998-11-19,0.38,
1998-11-20,0.34,
1998-11-21,0.32,
1998-11-22,0.32,
1998-11-23,0.32,43.0
1998-11-24,0.28,
1998-11-25,0.28,
1998-11-26,0.28,
1998-11-27,0.26,
1998-11-28,0.31,
1998-11-29,0.28,
1998-11-30,0.29,41.0
1998-12-01,0.26,
1998-12-02,0.24,
1998-12-03,0.24,
1998-12-04,0.24,
1998-12-05,0.25,
1998-12-06,0.62,
1998-12-07,0.65,97.0
1998-12-08,0.62,
1998-12-09,0.54,
1998-12-10,0.5,
1998-12-11,0.47,
1998-12-12,0.43,
1998-12-13,0.38,
1998-12-14,0.32,79.0
1998-12-15,0.26,
1998-12-16,0.26,
1998-12-17,0.26,
1998-12-18,0.26,
1998-12-19,0.26,
1998-12-20,0.27,
1998-12-21,0.31,94.0
1998-12-22,0.3,
1998-12-23,0.29,
1998-12-24,0.29,
1998-12-25,0.29,
1998-12-26,0.29,
1998-12-27,0.29,
1998-12-28,0.28,82.0
1998-12-29,0.27,
1998-12-30,0.27,
1998-12-31,0.27,
1999-01-01,0.27,
1999-01-02,0.27,
1999-01-03,0.3,
1999-01-04,0.28,94.0
1999-01-05,0.28,
1999-01-06,0.28,
1999-01-07,0.28,
1999-01-08,0.26,
1999-01-09,0.3,
1999-01-10,0.28,
1999-01-11,0.28,87.0
1999-01-12,0.29,
1999-01-13,0.3,
1999-01-14,0.35,
1999-01-15,0.36,
1999-01-16,0.36,
1999-01-17,0.36,
1999-01-18,0.35,92.0
1999-01-19,0.35,
1999-01-20,0.34,
1999-01-21,0.34,
1999-01-22,0.34,
1999-01-23,0.34,
1999-01-24,0.34,
1999-01-25,0.34,84.0
1999-01-26,0.33,
1999-01-27,0.34,
1999-01-28,0.71,
1999-01-29,1.21,
1999-01-30,1.14,
1999-01-31,0.98,
1999-02-01,0.95,224.0
1999-02-02,0.89,
1999-02-03,0.86,
1999-02-04,0.81,
1999-02-05,0.73,
1999-02-06,1.16,
1999-02-07,1.19,
1999-02-08,1.42,295.0
1999-02-09,1.48,
1999-02-10,1.49,
1999-02-11,1.38,
1999-02-12,1.26,
1999-02-13,1.18,
1999-02-14,1.16,
1999-02-15,1.15,321.0
1999-02-16,1.1,
1999-02-17,1.22,
1999-02-18,1.64,
1999-02-19,1.69,
1999-02-20,1.16,
1999-02-21,1.06,
1999-02-22,1.03,357.0
1999-02-23,1.4,
1999-02-24,1.64,
1999-02-25,1.72,
1999-02-26,1.52,
1999-02-27,1.39,
1999-02-28,1.31,
1999-03-01,1.26,446.0
1999-03-02,1.21,
1999-03-03,1.16,
1999-03-04,1.09,
1999-03-05,1.21,
1999-03-06,1.2,
1999-03-07,1.24,
1999-03-08,1.22,446.0
1999-03-09,1.24,
1999-03-10,1.14,
1999-03-11,1.09,
1999-03-12,1.04,
1999-03-13,0.99,
1999-03-14,0.96,
1999-03-15,0.94,430.0
1999-03-16,0.9,
1999-03-17,0.86,
1999-03-18,0.85,
1999-03-19,0.81,
1999-03-20,0.98,
1999-03-21,0.89,
1999-03-22,0.86,283.0
1999-03-23,0.88,
1999-03-24,0.84,
1999-03-25,0.79,
1999-03-26,0.74,
1999-03-27,0.7,
1999-03-28,0.68,
1999-03-29,0.63,237.0
1999-03-30,0.61,
1999-03-31,0.56,
1999-04-01,0.52,
1999-04-02,0.49,
1999-04-03,0.44,
1999-04-04,0.39,
1999-04-05,0.36,140.0
1999-04-06,0.31,
1999-04-07,0.28,
1999-04-08,0.34,
1999-04-09,0.31,
1999-04-10,0.29,
1999-04-11,0.24,
1999-04-12,0.2,69.0
1999-04-13,0.14,
1999-04-14,0.12,
1999-04-15,0.1,
1999-04-16,0.2,
1999-04-17,0.25,
1999-04-18,0.22,
1999-04-19,0.15,
1999-04-20,0.1,
1999-04-21,0.06,
1999-04-22,0.05,
1999-04-23,0.02,
1999-04-24,0.0,
1999-04-25,0.0,
1999-04-26,0.0,
1999-04-27,0.0,
1999-04-28,0.0,
1999-04-29,0.0,
1999-04-30,0.0,
