time,hs,swe_obs
1999-11-01,0.0,
1999-11-02,0.0,
1999-11-03,0.0,
1999-11-04,0.0,
1999-11-05,0.0,
1999-11-06,0.0,
1999-11-07,0.0,
1999-11-08,0.0,
1999-11-09,0.0,
1999-11-10,0.05,
1999-11-11,0.04,
1999-11-12,0.03,
1999-11-13,0.0,
1999-11-14,0.0,
1999-11-15,0.02,
1999-11-16,0.0,
1999-11-17,0.0,
1999-11-18,0.1,
1999-11-19,0.12,
1999-11-20,0.15,
1999-11-21,0.1,
1999-11-22,0.1,
1999-11-23,0.4,
1999-11-24,0.6,
1999-11-25,0.45,
1999-11-26,0.35,
1999-11-27,0.32,
1999-11-28,0.3,
1999-11-29,0.3,51.0
1999-11-30,0.3,
1999-12-01,0.25,
1999-12-02,0.23,
1999-12-03,0.16,
1999-12-04,0.12,
1999-12-05,0.18,
1999-12-06,0.3,51.0
1999-12-07,0.2,
1999-12-08,0.2,
1999-12-09,0.15,
1999-12-10,0.15,
1999-12-11,0.12,
1999-12-12,0.1,
1999-12-13,0.08,38.0
1999-12-14,0.08,
1999-12-15,0.14,
1999-12-16,0.2,
1999-12-17,0.2,
1999-12-18,0.16,
1999-12-19,0.15,
1999-12-20,0.3,38.0
1999-12-21,0.35,
1999-12-22,0.3,
1999-12-23,0.28,
1999-12-24,0.25,
1999-12-25,0.2,
1999-12-26,0.17,
1999-12-27,0.15,64.0
1999-12-28,0.19,
1999-12-29,0.54,
1999-12-30,0.7,
1999-12-31,0.65,
2000-01-01,0.66,
2000-01-02,0.66,
2000-01-03,0.6,115.0
2000-01-04,0.54,
2000-01-05,0.5,
2000-01-06,0.48,
2000-01-07,0.45,
2000-01-08,0.43,
2000-01-09,0.43,
2000-01-10,0.42,64.0
2000-01-11,0.42,
2000-01-12,0.42,
2000-01-13,0.42,
2000-01-14,0.42,
2000-01-15,0.42,
2000-01-16,0.4,
2000-01-17,0.4,51.0
2000-01-18,0.38,
2000-01-19,0.42,
2000-01-20,0.4,
2000-01-21,0.48,
2000-01-22,0.75,
2000-01-23,1.0,
2000-01-24,1.05,115.0
2000-01-25,0.95,
2000-01-26,0.95,
2000-01-27,0.85,
2000-01-28,0.8,
2000-01-29,0.75,
2000-01-30,0.65,
2000-01-31,0.55,153.0
2000-02-01,0.4,
2000-02-02,0.4,
2000-02-03,0.39,
2000-02-04,0.39,
2000-02-05,0.38,
2000-02-06,0.35,
2000-02-07,0.35,127.0
2000-02-08,0.34,
2000-02-09,0.3,
2000-02-10,0.4,
2000-02-11,0.38,
2000-02-12,0.35,
2000-02-13,0.35,
2000-02-14,0.35,115.0
2000-02-15,0.34,
2000-02-16,0.35,
2000-02-17,0.5,
2000-02-18,0.7,
2000-02-19,0.85,
2000-02-20,0.75,
2000-02-21,1.15,191.0
2000-02-22,0.9,
2000-02-23,0.85,
2000-02-24,0.83,
2000-02-25,0.85,
2000-02-26,0.7,
2000-02-27,0.6,
2000-02-28,0.58,178.0
2000-02-29,0.55,
2000-03-01,0.54,
2000-03-02,0.58,
2000-03-03,0.55,
2000-03-04,0.5,
2000-03-05,0.58,
2000-03-06,0.55,178.0
2000-03-07,0.53,
2000-03-08,0.5,
2000-03-09,0.45,
2000-03-10,0.4,
2000-03-11,0.35,
2000-03-12,0.3,
2000-03-13,0.28,89.0
2000-03-14,0.25,
2000-03-15,0.25,
2000-03-16,0.38,
2000-03-17,0.4,
2000-03-18,0.45,
2000-03-19,0.4,
2000-03-20,0.45,153.0
2000-03-21,0.4,
2000-03-22,0.38,
2000-03-23,0.35,
2000-03-24,0.3,
2000-03-25,0.25,
2000-03-26,0.2,
2000-03-27,0.15,
2000-03-28,0.12,
2000-03-29,0.0,
2000-03-30,0.0,
2000-03-31,0.0,
2000-04-01,0.0,
2000-04-02,0.0,
2000-04-03,0.0,
2000-04-04,0.0,
2000-04-05,0.0,
2000-04-06,0.0,
2000-04-07,0.0,
2000-04-08,0.0,
2000-04-09,0.0,
2000-04-10,0.0,
2000-04-11,0.0,
2000-04-12,0.0,
2000-04-13,0.0,
2000-04-14,0.0,
2000-04-15,0.0,
2000-04-16,0.0,
2000-04-17,0.0,
2000-04-18,0.0,
2000-04-19,0.0,
2000-04-20,0.0,
2000-04-21,0.0,
2000-04-22,0.0,
2000-04-23,0.0,
2000-04-24,0.0,
2000-04-25,0.0,
2000-04-26,0.0,
2000-04-27,0.0,
2000-04-28,0.0,
2000-04-29,0.0,
2000-04-30,0.0,
