time,hs,swe_obs
2021-11-01,0.0,
2021-11-02,0.09,
2021-11-03,0.08,
2021-11-04,0.55,
2021-11-05,0.46,
2021-11-06,0.4,
2021-11-07,0.38,
2021-11-08,0.35,
2021-11-09,0.33,
2021-11-10,0.3,
2021-11-11,0.26,
2021-11-12,0.21,
2021-11-13,0.21,
2021-11-14,0.23,
2021-11-15,0.37,
2021-11-16,0.28,
2021-11-17,0.25,
2021-11-18,0.24,
2021-11-19,0.23,
2021-11-20,0.21,
2021-11-21,0.2,
2021-11-22,0.25,
2021-11-23,0.27,
2021-11-24,0.25,
2021-11-25,0.24,
2021-11-26,0.3,90.0
2021-11-27,0.41,
2021-11-28,0.49,
2021-11-29,0.41,
2021-11-30,0.4,
2021-12-01,0.4,
2021-12-02,0.38,
2021-12-03,0.38,
2021-12-04,0.38,
2021-12-05,0.39,
2021-12-06,0.38,
2021-12-07,0.38,110.0
2021-12-08,0.38,
2021-12-09,0.65,
2021-12-10,0.6,
2021-12-11,0.58,
2021-12-12,0.54,
2021-12-13,0.48,
2021-12-14,0.45,
2021-12-15,0.44,
2021-12-16,0.44,
2021-12-17,0.44,
2021-12-18,0.44,
2021-12-19,0.44,
2021-12-20,0.44,
2021-12-21,0.44,127.0
2021-12-22,0.44,
2021-12-23,0.44,
2021-12-24,0.44,
2021-12-25,0.44,
2021-12-26,0.44,
2021-12-27,0.44,
2021-12-28,0.5,
2021-12-29,0.5,
2021-12-30,0.48,
2021-12-31,0.47,
2022-01-01,0.47,
2022-01-02,0.47,
2022-01-03,0.47,
2022-01-04,0.47,
2022-01-05,0.52,
2022-01-06,0.54,
2022-01-07,0.54,
2022-01-08,0.54,
2022-01-09,0.53,
2022-01-10,0.53,
2022-01-11,0.52,
2022-01-12,0.52,
2022-01-13,0.513,120.0
2022-01-14,0.513,
2022-01-15,0.512,
2022-01-16,0.509,
2022-01-17,0.507,
2022-01-18,0.505,
2022-01-19,0.503,
2022-01-20,0.499,
2022-01-21,0.505,
2022-01-22,0.511,
2022-01-23,0.514,
2022-01-24,0.509,
2022-01-25,0.508,160.0
2022-01-26,0.508,
2022-01-27,0.505,
2022-01-28,0.506,
2022-01-29,0.503,
2022-01-30,0.503,
2022-01-31,0.5,
2022-02-01,0.61,
2022-02-02,0.85,
2022-02-03,1.01,
2022-02-04,0.9,
2022-02-05,0.88,
2022-02-06,0.85,
2022-02-07,0.87,
2022-02-08,0.81,
2022-02-09,0.8,
2022-02-10,0.8,
2022-02-11,0.77,210.0
2022-02-12,0.77,
2022-02-13,0.76,
2022-02-14,0.76,
2022-02-15,1.03,
2022-02-16,0.97,
2022-02-17,0.95,
2022-02-18,0.93,
2022-02-19,0.9,
2022-02-20,0.89,
2022-02-21,0.88,
2022-02-22,0.89,
2022-02-23,0.85,
2022-02-24,0.8340000000000001,
2022-02-25,0.825,220.0
2022-02-26,0.8320000000000001,
2022-02-27,0.8220000000000001,
2022-02-28,0.821,
2022-03-01,0.82,
2022-03-02,0.82,
2022-03-03,0.82,
2022-03-04,0.83,
2022-03-05,0.82,
2022-03-06,0.82,
2022-03-07,0.82,
2022-03-08,0.82,
2022-03-09,0.82,
2022-03-10,0.82,
2022-03-11,0.82,
2022-03-12,0.82,
2022-03-13,0.81,
2022-03-14,0.83,260.0
2022-03-15,0.85,
2022-03-16,0.85,
2022-03-17,0.79,
2022-03-18,0.77,
2022-03-19,0.73,
2022-03-20,0.7,
2022-03-21,0.69,
2022-03-22,0.68,
2022-03-23,0.68,
2022-03-24,0.68,
2022-03-25,0.67,
2022-03-26,0.66,
2022-03-27,0.655,
2022-03-28,0.551,
2022-03-29,0.52,
2022-03-30,0.51,
2022-03-31,0.49,140.0
2022-04-01,0.51,
2022-04-02,0.5770000000000001,
2022-04-03,0.568,
2022-04-04,0.56,
2022-04-05,0.55,
2022-04-06,0.54,
2022-04-07,0.45,
2022-04-08,0.4,
2022-04-09,0.33,
2022-04-10,0.32,
2022-04-11,0.3,
2022-04-12,0.3,
2022-04-13,0.22,
2022-04-14,0.14,105.0
2022-04-15,0.06,
2022-04-16,0.0,
2022-04-17,0.0,
2022-04-18,0.0,
2022-04-19,0.0,
2022-04-20,0.0,
2022-04-21,0.0,
2022-04-22,0.0,
2022-04-23,0.0,
2022-04-24,0.08,
2022-04-25,0.0,
2022-04-26,0.0,
2022-04-27,0.0,
2022-04-28,0.0,
2022-04-29,0.0,
2022-04-30,0.0,
