time,hs,swe_obs
2004-11-01,0.0,
2004-11-02,0.0,
2004-11-03,0.0,
2004-11-04,0.0,
2004-11-05,0.0,
2004-11-06,0.0,
2004-11-07,0.0,
2004-11-08,0.02,
2004-11-09,0.0,
2004-11-10,0.02,
2004-11-11,0.06,
2004-11-12,0.04,
2004-11-13,0.03,
2004-11-14,0.06,
2004-11-15,0.04,
2004-11-16,0.04,
2004-11-17,0.04,
2004-11-18,0.02,
2004-11-19,0.0,
2004-11-20,0.06,
2004-11-21,0.08,
2004-11-22,0.08,
2004-11-23,0.06,
2004-11-24,0.04,
2004-11-25,0.04,
2004-11-26,0.03,
2004-11-27,0.02,
2004-11-28,0.02,
2004-11-29,0.02,
2004-11-30,0.0,
2004-12-01,0.14,
2004-12-02,0.13,
2004-12-03,0.06,
2004-12-04,0.06,
2004-12-05,0.06,
2004-12-06,0.06,
2004-12-07,0.06,
2004-12-08,0.06,
2004-12-09,0.06,
2004-12-10,0.06,
2004-12-11,0.05,
2004-12-12,0.05,
2004-12-13,0.05,
2004-12-14,0.05,
2004-12-15,0.05,
2004-12-16,0.05,
2004-12-17,0.05,
2004-12-18,0.12,
2004-12-19,0.12,
2004-12-20,0.12,
2004-12-21,0.12,
2004-12-22,0.12,
2004-12-23,0.12,
2004-12-24,0.12,
2004-12-25,0.11,
2004-12-26,0.25,
2004-12-27,0.35,
2004-12-28,0.36,36.0
2004-12-29,0.36,
2004-12-30,0.35,
2004-12-31,0.34,
2005-01-01,0.34,
2005-01-02,0.34,
2005-01-03,0.32,48.0
2005-01-04,0.3,
2005-01-05,0.3,
2005-01-06,0.29,
2005-01-07,0.28,
2005-01-08,0.27,
2005-01-09,0.27,
2005-01-10,0.27,50.0
2005-01-11,0.27,
2005-01-12,0.27,
2005-01-13,0.27,
2005-01-14,0.27,
2005-01-15,0.27,
2005-01-16,0.27,
2005-01-17,0.27,48.0
2005-01-18,0.27,
2005-01-19,0.28,
2005-01-20,0.28,
2005-01-21,0.4,
2005-01-22,0.5,
2005-01-23,0.48,
2005-01-24,0.48,71.0
2005-01-25,0.47,
2005-01-26,0.48,
2005-01-27,0.5,
2005-01-28,0.48,
2005-01-29,0.46,
2005-01-30,0.46,
2005-01-31,0.45,76.0
2005-02-01,0.55,
2005-02-02,0.6,
2005-02-03,0.65,
2005-02-04,0.6,
2005-02-05,0.58,
2005-02-06,0.55,
2005-02-07,0.55,100.0
2005-02-08,0.55,
2005-02-09,0.54,
2005-02-10,0.53,
2005-02-11,0.53,
2005-02-12,0.5,
2005-02-13,0.53,
2005-02-14,0.54,108.0
2005-02-15,0.55,
2005-02-16,0.54,
2005-02-17,0.54,
2005-02-18,0.54,
2005-02-19,0.53,
2005-02-20,0.53,
2005-02-21,0.53,110.0
2005-02-22,0.55,
2005-02-23,0.64,
2005-02-24,0.62,
2005-02-25,0.6,
2005-02-26,0.58,
2005-02-27,0.57,
2005-02-28,0.57,115.0
2005-03-01,0.57,
2005-03-02,0.56,
2005-03-03,0.56,
2005-03-04,0.56,
2005-03-05,0.56,
2005-03-06,0.56,
2005-03-07,0.56,120.0
2005-03-08,0.56,
2005-03-09,0.56,
2005-03-10,0.56,
2005-03-11,0.56,
2005-03-12,0.56,
2005-03-13,0.56,
2005-03-14,0.55,115.0
2005-03-15,0.54,
2005-03-16,0.5,
2005-03-17,0.46,
2005-03-18,0.43,
2005-03-19,0.37,
2005-03-20,0.3,
2005-03-21,0.23,71.0
2005-03-22,0.15,
2005-03-23,0.07,
2005-03-24,0.03,
2005-03-25,0.0,
2005-03-26,0.0,
2005-03-27,0.0,
2005-03-28,0.0,
2005-03-29,0.0,
2005-03-30,0.0,
2005-03-31,0.0,
2005-04-01,0.0,
2005-04-02,0.0,
2005-04-03,0.0,
2005-04-04,0.0,
2005-04-05,0.0,
2005-04-06,0.0,
2005-04-07,0.0,
2005-04-08,0.0,
2005-04-09,0.2,
2005-04-10,0.14,
2005-04-11,0.05,
2005-04-12,0.03,
2005-04-13,0.0,
2005-04-14,0.0,
2005-04-15,0.0,
2005-04-16,0.0,
2005-04-17,0.0,
2005-04-18,0.06,
2005-04-19,0.0,
2005-04-20,0.0,
2005-04-21,0.0,
2005-04-22,0.0,
2005-04-23,0.0,
2005-04-24,0.0,
2005-04-25,0.0,
2005-04-26,0.0,
2005-04-27,0.0,
2005-04-28,0.0,
2005-04-29,0.0,
2005-04-30,0.0,
