time,hs,swe_obs
2007-11-01,0.0,
2007-11-02,0.0,
2007-11-03,0.0,
2007-11-04,0.0,
2007-11-05,0.0,
2007-11-06,0.0,
2007-11-07,0.0,
2007-11-08,0.0,
2007-11-09,0.01,
2007-11-10,0.01,
2007-11-11,0.07,
2007-11-12,0.05,
2007-11-13,0.03,
2007-11-14,0.03,
2007-11-15,0.03,
2007-11-16,0.03,
2007-11-17,0.02,
2007-11-18,0.01,
2007-11-19,0.01,
2007-11-20,0.0,
2007-11-21,0.0,
2007-11-22,0.1,
2007-11-23,0.53,
2007-11-24,0.5,
2007-11-25,0.45,
2007-11-26,0.42,
2007-11-27,0.41,
2007-11-28,0.41,
2007-11-29,0.4,
2007-11-30,0.4,80.0
2007-12-01,0.39,
2007-12-02,0.39,
2007-12-03,0.6,
2007-12-04,0.68,
2007-12-05,0.58,
2007-12-06,0.56,
2007-12-07,0.52,
2007-12-08,0.53,
2007-12-09,0.49,
2007-12-10,0.48,
2007-12-11,0.49,
2007-12-12,0.48,
2007-12-13,0.4,
2007-12-14,0.44,90.0
2007-12-15,0.42,
2007-12-16,0.41,
2007-12-17,0.38,
2007-12-18,0.38,
2007-12-19,0.38,
2007-12-20,0.38,
2007-12-21,0.38,
2007-12-22,0.38,
2007-12-23,0.38,
2007-12-24,0.38,
2007-12-25,0.38,
2007-12-26,0.38,
2007-12-27,0.38,
2007-12-28,0.3,
2007-12-29,0.38,
2007-12-30,0.38,92.0
2007-12-31,0.37,
2008-01-01,0.37,
2008-01-02,0.37,
2008-01-03,0.45,
2008-01-04,0.55,
2008-01-05,0.58,
2008-01-06,0.82,
2008-01-07,0.78,
2008-01-08,0.47,
2008-01-09,0.74,
2008-01-10,0.73,
2008-01-11,0.72,
2008-01-12,1.12,
2008-01-13,1.35,
2008-01-14,1.11,
2008-01-15,1.14,208.0
2008-01-16,1.26,
2008-01-17,1.45,
2008-01-18,1.35,
2008-01-19,1.3,
2008-01-20,1.23,
2008-01-21,1.19,
2008-01-22,1.1,
2008-01-23,1.1,
2008-01-24,1.1,
2008-01-25,1.02,
2008-01-26,1.02,
2008-01-27,1.0,
2008-01-28,0.98,
2008-01-29,0.9,
2008-01-30,0.9,
2008-01-31,0.88,232.0
2008-02-01,0.87,
2008-02-02,0.91,
2008-02-03,0.9,
2008-02-04,0.99,
2008-02-05,1.22,
2008-02-06,1.18,
2008-02-07,1.1,
2008-02-08,1.1,
2008-02-09,1.06,
2008-02-10,1.05,
2008-02-11,1.04,
2008-02-12,1.02,
2008-02-13,1.01,
2008-02-14,1.0,
2008-02-15,0.99,268.0
2008-02-16,0.97,
2008-02-17,0.97,
2008-02-18,0.96,
2008-02-19,0.94,
2008-02-20,0.93,
2008-02-21,0.92,
2008-02-22,0.89,
2008-02-23,0.85,
2008-02-24,0.81,
2008-02-25,0.78,
2008-02-26,0.75,
2008-02-27,0.74,
2008-02-28,0.71,
2008-02-29,0.71,250.0
2008-03-01,0.7,
2008-03-02,0.69,
2008-03-03,0.64,
2008-03-04,0.62,
2008-03-05,0.6,
2008-03-06,0.59,
2008-03-07,0.59,
2008-03-08,0.55,
2008-03-09,0.55,
2008-03-10,0.72,
2008-03-11,1.12,
2008-03-12,1.0,
2008-03-13,0.8,
2008-03-14,0.79,265.0
2008-03-15,0.7,
2008-03-16,0.72,
2008-03-17,0.7,
2008-03-18,0.69,
2008-03-19,0.68,
2008-03-20,0.67,
2008-03-21,0.68,
2008-03-22,0.76,
2008-03-23,0.76,
2008-03-24,0.74,
2008-03-25,0.78,
2008-03-26,0.76,
2008-03-27,0.75,
2008-03-28,0.76,
2008-03-29,0.75,
2008-03-30,0.72,
2008-03-31,0.68,261.0
2008-04-01,0.66,
2008-04-02,0.63,
2008-04-03,0.65,
2008-04-04,0.64,
2008-04-05,0.62,
2008-04-06,0.63,
2008-04-07,0.78,
2008-04-08,0.65,
2008-04-09,0.62,
2008-04-10,0.67,
2008-04-11,0.62,
2008-04-12,0.82,
2008-04-13,0.78,
2008-04-14,0.7,
2008-04-15,0.77,259.0
2008-04-16,0.75,
2008-04-17,0.76,
2008-04-18,0.89,
2008-04-19,1.13,
2008-04-20,0.82,
2008-04-21,0.8,
2008-04-22,0.9,
2008-04-23,0.8,
2008-04-24,0.75,
2008-04-25,0.65,
2008-04-26,0.6,
2008-04-27,0.55,
2008-04-28,0.55,
2008-04-29,0.56,
2008-04-30,0.5,202.0
