time,hs,swe_obs
2017-11-01,0.0,
2017-11-02,0.0,
2017-11-03,0.0,
2017-11-04,0.0,
2017-11-05,0.0,
2017-11-06,0.12,
2017-11-07,0.09,
2017-11-08,0.15,
2017-11-09,0.1,
2017-11-10,0.07,
2017-11-11,0.07,
2017-11-12,0.06,
2017-11-13,0.09,
2017-11-14,0.05,
2017-11-15,0.05,
2017-11-16,0.05,
2017-11-17,0.04,
2017-11-18,0.04,
2017-11-19,0.04,
2017-11-20,0.1,
2017-11-21,0.08,
2017-11-22,0.06,
2017-11-23,0.04,
2017-11-24,0.04,
2017-11-25,0.03,
2017-11-26,0.04,
2017-11-27,0.04,
2017-11-28,0.02,
2017-11-29,0.02,
2017-11-30,0.09,
2017-12-01,0.07,
2017-12-02,0.06,
2017-12-03,0.06,
2017-12-04,0.07,
2017-12-05,0.06,
2017-12-06,0.06,
2017-12-07,0.06,
2017-12-08,0.05,
2017-12-09,0.09,
2017-12-10,0.08,
2017-12-11,0.14,
2017-12-12,0.2,
2017-12-13,0.25,
2017-12-14,0.22,
2017-12-15,0.34,
2017-12-16,0.3,
2017-12-17,0.31,
2017-12-18,0.3,
2017-12-19,0.29,
2017-12-20,0.28,
2017-12-21,0.28,
2017-12-22,0.28,
2017-12-23,0.27,
2017-12-24,0.27,
2017-12-25,0.27,
2017-12-26,0.27,
2017-12-27,0.34,
2017-12-28,0.62,
2017-12-29,0.58,
2017-12-30,0.62,127.0
2017-12-31,0.62,
2018-01-01,0.58,
2018-01-02,0.57,
2018-01-03,0.66,
2018-01-04,0.91,
2018-01-05,0.8,
2018-01-06,0.67,
2018-01-07,0.57,
2018-01-08,0.48,
2018-01-09,0.45,
2018-01-10,0.5,
2018-01-11,0.5,
2018-01-12,0.49,
2018-01-13,0.48,
2018-01-14,0.48,
2018-01-15,0.48,160.0
2018-01-16,0.48,
2018-01-17,0.6,
2018-01-18,0.68,
2018-01-19,0.65,
2018-01-20,0.63,
2018-01-21,0.94,
2018-01-22,1.12,
2018-01-23,1.1,
2018-01-24,1.09,
2018-01-25,1.09,
2018-01-26,1.09,
2018-01-27,1.08,
2018-01-28,1.022,
2018-01-29,0.966,
2018-01-30,0.908,275.0
2018-01-31,0.86,
2018-02-01,0.88,
2018-02-02,1.0,
2018-02-03,0.95,
2018-02-04,0.91,
2018-02-05,0.9,
2018-02-06,0.89,
2018-02-07,0.88,
2018-02-08,0.87,
2018-02-09,0.87,
2018-02-10,0.87,
2018-02-11,0.87,
2018-02-12,0.94,
2018-02-13,0.92,
2018-02-14,0.92,
2018-02-15,0.91,260.0
2018-02-16,1.0,
2018-02-17,0.92,
2018-02-18,0.92,
2018-02-19,0.92,
2018-02-20,0.91,
2018-02-21,0.91,
2018-02-22,0.91,
2018-02-23,0.91,
2018-02-24,0.91,
2018-02-25,0.9,
2018-02-26,0.9,
2018-02-27,0.89,
2018-02-28,0.89,349.0
2018-03-01,0.89,
2018-03-02,0.89,
2018-03-03,0.89,
2018-03-04,0.89,
2018-03-05,0.89,
2018-03-06,0.88,
2018-03-07,0.88,
2018-03-08,1.01,
2018-03-09,0.96,
2018-03-10,0.93,
2018-03-11,0.89,
2018-03-12,0.85,
2018-03-13,0.83,323.0
2018-03-14,0.82,
2018-03-15,0.78,
2018-03-16,0.81,
2018-03-17,0.77,
2018-03-18,0.92,
2018-03-19,0.87,
2018-03-20,0.85,
2018-03-21,0.82,
2018-03-22,0.82,
2018-03-23,0.8,
2018-03-24,0.79,
2018-03-25,0.78,
2018-03-26,0.77,
2018-03-27,0.77,
2018-03-28,0.76,
2018-03-29,0.72,310.0
2018-03-30,0.73,
2018-03-31,0.72,
2018-04-01,0.73,
2018-04-02,0.7,
2018-04-03,0.66,
2018-04-04,0.62,
2018-04-05,0.58,
2018-04-06,0.53,
2018-04-07,0.49,
2018-04-08,0.41,
2018-04-09,0.33,
2018-04-10,0.26,
2018-04-11,0.2,
2018-04-12,0.16,
2018-04-13,0.22,
2018-04-14,0.16,
2018-04-15,0.12,
2018-04-16,0.08,
2018-04-17,0.04,
2018-04-18,0.0,
2018-04-19,0.0,
2018-04-20,0.0,
2018-04-21,0.0,
2018-04-22,0.0,
2018-04-23,0.0,
2018-04-24,0.0,
2018-04-25,0.0,
2018-04-26,0.0,
2018-04-27,0.0,
2018-04-28,0.0,
2018-04-29,0.0,
2018-04-30,0.0,
