time,hs,swe_obs
2017-11-01,0.0,
2017-11-02,0.0,
2017-11-03,0.0,
2017-11-04,0.0,
2017-11-05,0.0,
2017-11-06,0.27,
2017-11-07,0.37,
2017-11-08,0.5,
2017-11-09,0.52,
2017-11-10,0.5,
2017-11-11,0.41,
2017-11-12,0.35,
2017-11-13,0.55,
2017-11-14,0.65,
2017-11-15,0.6,
2017-11-16,0.57,
2017-11-17,0.55,
2017-11-18,0.55,
2017-11-19,0.57,
2017-11-20,0.58,
2017-11-21,0.56,
2017-11-22,0.5,
2017-11-23,0.48,
2017-11-24,0.48,
2017-11-25,0.48,
2017-11-26,0.78,
2017-11-27,0.72,
2017-11-28,0.68,
2017-11-29,0.72,
2017-11-30,0.94,
2017-12-01,0.98,
2017-12-02,0.91,
2017-12-03,0.9,
2017-12-04,0.92,
2017-12-05,0.91,
2017-12-06,0.82,
2017-12-07,0.79,
2017-12-08,0.82,
2017-12-09,1.28,
2017-12-10,1.2,
2017-12-11,1.15,
2017-12-12,1.12,
2017-12-13,1.02,
2017-12-14,1.0,
2017-12-15,1.25,
2017-12-16,1.22,
2017-12-17,1.35,
2017-12-18,1.32,
2017-12-19,1.36,
2017-12-20,1.22,
2017-12-21,1.23,
2017-12-22,1.18,333.0
2017-12-23,1.18,
2017-12-24,1.12,
2017-12-25,1.1,
2017-12-26,1.1,
2017-12-27,1.1,
2017-12-28,1.18,
2017-12-29,1.25,
2017-12-30,1.25,
2017-12-31,1.18,
2018-01-01,1.12,
2018-01-02,1.18,425.0
2018-01-03,1.19,
2018-01-04,1.18,
2018-01-05,0.95,
2018-01-06,0.9,
2018-01-07,0.88,
2018-01-08,0.87,
2018-01-09,1.04,
2018-01-10,1.03,
2018-01-11,1.03,
2018-01-12,1.07,
2018-01-13,1.06,
2018-01-14,1.04,
2018-01-15,1.0,
2018-01-16,1.04,
2018-01-17,1.15,
2018-01-18,1.37,
2018-01-19,1.46,
2018-01-20,1.55,
2018-01-21,1.68,
2018-01-22,1.8,
2018-01-23,1.85,
2018-01-24,1.8,
2018-01-25,1.72,
2018-01-26,1.7,
2018-01-27,1.65,
2018-01-28,1.62,
2018-01-29,1.62,
2018-01-30,1.62,
2018-01-31,1.6,668.0
2018-02-01,1.6,
2018-02-02,1.82,
2018-02-03,1.8,
2018-02-04,1.77,
2018-02-05,1.7,
2018-02-06,1.7,
2018-02-07,1.7,
2018-02-08,1.7,
2018-02-09,1.7,
2018-02-10,1.7,
2018-02-11,1.68,
2018-02-12,2.05,
2018-02-13,2.15,
2018-02-14,2.05,
2018-02-15,1.98,
2018-02-16,1.77,
2018-02-17,1.72,
2018-02-18,1.9,
2018-02-19,1.85,
2018-02-20,1.82,
2018-02-21,1.9,
2018-02-22,1.97,
2018-02-23,1.9,795.0
2018-02-24,1.9,
2018-02-25,1.85,
2018-02-26,1.88,
2018-02-27,1.9,
2018-02-28,1.88,
2018-03-01,1.9,
2018-03-02,1.9,
2018-03-03,1.9,
2018-03-04,1.91,
2018-03-05,1.9,
2018-03-06,1.9,
2018-03-07,2.0,
2018-03-08,2.1,
2018-03-09,2.08,
2018-03-10,2.05,
2018-03-11,1.95,
2018-03-12,1.92,
2018-03-13,1.98,772.0
2018-03-14,2.08,
2018-03-15,2.03,
2018-03-16,1.98,
2018-03-17,1.98,
2018-03-18,2.1,
2018-03-19,2.18,
2018-03-20,2.18,
2018-03-21,2.3,
2018-03-22,2.35,
2018-03-23,2.33,
2018-03-24,2.2,
2018-03-25,2.18,
2018-03-26,2.1,
2018-03-27,2.38,
2018-03-28,2.28,
2018-03-29,2.32,
2018-03-30,2.3,
2018-03-31,3.3,
2018-04-01,3.15,
2018-04-02,3.07,
2018-04-03,2.7,
2018-04-04,2.45,
2018-04-05,2.4,1015.0
2018-04-06,2.38,
2018-04-07,2.3,
2018-04-08,2.25,
2018-04-09,2.2,
2018-04-10,2.1,
2018-04-11,2.1,
2018-04-12,2.1,
2018-04-13,2.05,
2018-04-14,2.08,
2018-04-15,2.02,
2018-04-16,1.95,
2018-04-17,1.9,
2018-04-18,1.88,
2018-04-19,1.87,
2018-04-20,1.8,
2018-04-21,1.75,
2018-04-22,1.65,
2018-04-23,1.59,
2018-04-24,1.52,
2018-04-25,1.35,
2018-04-26,1.3,
2018-04-27,1.25,
2018-04-28,1.2,
2018-04-29,1.15,
2018-04-30,1.1,
