time,hs,swe_obs
2017-11-01,0.0025,57.26
2017-11-02,0.0027,61.21
2017-11-03,0.0026,62.85
2017-11-04,0.002,59.87
2017-11-05,0.0023,62.41
2017-11-06,0.0045,85.95
2017-11-07,0.0049,97.4
2017-11-08,0.0043,99.11
2017-11-09,0.0046,106.39
2017-11-10,0.0038,103.1
2017-11-11,0.0048,114.88
2017-11-12,0.005,121.35
2017-11-13,0.0054,130.5
2017-11-14,0.0071,152.52
2017-11-15,0.0059,149.55
2017-11-16,0.0062,157.3
2017-11-17,0.0063,163.31
2017-11-18,0.0059,164.28
2017-11-19,0.0063,171.2
2017-11-20,0.0079,191.8
2017-11-21,0.0075,195.66
2017-11-22,0.0072,198.26
2017-11-23,0.0068,198.75
2017-11-24,0.0063,196.95
2017-11-25,0.0061,196.38
2017-11-26,0.0069,205.37
2017-11-27,0.007,209.2
2017-11-28,0.0071,214.06
2017-11-29,0.0064,209.81
2017-11-30,0.0082,228.65
2017-12-01,0.0081,233.28
2017-12-02,0.0078,235.33
2017-12-03,0.007,230.59
2017-12-04,0.0073,234.22
2017-12-05,0.0079,242.3
2017-12-06,0.0073,239.42
2017-12-07,0.0073,240.56
2017-12-08,0.0073,242.02
2017-12-09,0.0085,255.25
2017-12-10,0.0086,260.49
2017-12-11,0.0088,266.42
2017-12-12,0.01,283.11
2017-12-13,0.0114,303.44
2017-12-14,0.0095,294.38
2017-12-15,0.0096,298.46
2017-12-16,0.0101,306.27
2017-12-17,0.0115,324.26
2017-12-18,0.0117,334.41
2017-12-19,0.0113,337.92
2017-12-20,0.0108,337.46
2017-12-21,0.0105,337.7
2017-12-22,0.011,344.81
2017-12-23,0.0104,342.64
2017-12-24,0.0112,352.29
2017-12-25,0.0113,357.09
2017-12-26,0.0108,355.95
2017-12-27,0.0103,352.35
2017-12-28,0.0125,374.77
2017-12-29,0.0142,399.0
2017-12-30,0.0146,413.66
2017-12-31,0.0168,444.86
2018-01-01,0.0153,444.43
2018-01-02,0.0157,456.31
2018-01-03,0.0167,474.19
2018-01-04,0.0204,522.0
2018-01-05,0.0228,565.4
2018-01-06,0.0215,575.13
2018-01-07,0.0218,593.71
2018-01-08,0.0191,580.96
2018-01-09,0.0183,578.51
2018-01-10,0.0188,587.29
2018-01-11,0.0183,588.61
2018-01-12,0.0178,587.01
2018-01-13,0.0177,589.06
2018-01-14,0.0174,588.59
2018-01-15,0.0173,588.42
2018-01-16,0.0166,582.79
2018-01-17,0.0201,617.41
2018-01-18,0.0214,640.26
2018-01-19,0.022,658.33
2018-01-20,0.0239,688.39
2018-01-21,0.0252,716.3
2018-01-22,0.0286,767.17
2018-01-23,0.0319,823.47
2018-01-24,0.0321,854.07
2018-01-25,0.0297,855.66
2018-01-26,0.0281,854.61
2018-01-27,0.0271,854.32
2018-01-28,0.0268,857.98
2018-01-29,0.0264,859.9
2018-01-30,0.0255,856.0
2018-01-31,0.0256,859.01
2018-02-01,0.0253,859.16
2018-02-02,0.0261,869.95
2018-02-03,0.0258,871.08
2018-02-04,0.0254,870.57
2018-02-05,0.0255,873.09
2018-02-06,0.0252,873.16
2018-02-07,0.0248,870.29
2018-02-08,0.0242,849.71
2018-02-09,0.0241,846.78
2018-02-10,0.0242,856.16
2018-02-11,0.0243,857.73
2018-02-12,0.0261,876.37
2018-02-13,0.025,871.94
2018-02-14,0.0256,879.11
2018-02-15,0.0244,869.67
2018-02-16,0.027,895.49
2018-02-17,0.0256,888.87
2018-02-18,0.0252,903.02
2018-02-19,0.0248,887.41
2018-02-20,0.0262,899.7
2018-02-21,0.0247,888.41
2018-02-22,0.0252,904.07
2018-02-23,0.0254,903.42
2018-02-24,0.0258,915.34
2018-02-25,0.025,904.79
2018-02-26,0.0247,893.37
2018-02-27,0.0246,894.22
2018-02-28,0.0243,889.72
2018-03-01,0.0254,889.72
2018-03-02,0.0256,894.22
2018-03-03,0.027,911.29
2018-03-04,0.0268,915.15
2018-03-05,0.0256,894.78
2018-03-06,0.0243,896.21
2018-03-07,0.0262,919.98
2018-03-08,0.0278,944.62
2018-03-09,0.0278,945.39
2018-03-10,0.0264,949.98
2018-03-11,0.0265,953.48
2018-03-12,0.0261,938.14
2018-03-13,0.0254,935.03
2018-03-14,0.0253,933.5
2018-03-15,0.0253,934.76
2018-03-16,0.0254,932.6
2018-03-17,0.0259,927.16
2018-03-18,0.0269,937.49
2018-03-19,0.0269,940.29
2018-03-20,0.0264,937.14
2018-03-21,0.0266,939.78
2018-03-22,0.0278,945.75
2018-03-23,0.029,964.5
2018-03-24,0.027,982.92
2018-03-25,0.027,982.79
2018-03-26,0.0267,972.86
2018-03-27,0.0267,972.86
2018-03-28,0.0267,973.81
2018-03-29,0.0261,951.58
2018-03-30,0.0274,998.32
2018-03-31,0.0298,966.14
2018-04-01,0.029,997.56
2018-04-02,0.0272,991.77
2018-04-03,0.0274,999.22
2018-04-04,0.0273,994.72
2018-04-05,0.0269,990.22
2018-04-06,0.0277,1019.94
2018-04-07,0.0274,1011.4
2018-04-08,0.0267,1004.2
2018-04-09,0.024,962.4
2018-04-10,0.0262,975.3
2018-04-11,0.0259,998.26
2018-04-12,0.0268,996.88
2018-04-13,0.0268,996.26
2018-04-14,0.0266,1002.22
2018-04-15,0.0252,1019.25
2018-04-16,0.0249,1006.79
2018-04-17,0.0248,1001.23
2018-04-18,0.0242,981.75
2018-04-19,0.0243,984.19
2018-04-20,0.0221,908.93
2018-04-21,0.0216,899.64
2018-04-22,0.0216,898.93
2018-04-23,0.0205,893.66
2018-04-24,0.0205,895.04
2018-04-25,0.0206,895.81
2018-04-26,0.0205,884.73
2018-04-27,0.02,877.57
2018-04-28,0.0195,877.7
2018-04-29,0.0196,872.38
2018-04-30,0.0195,869.88
