time,hs,swe_obs
1964-11-01,0.0,
1964-11-02,0.0,
1964-11-03,0.0,
1964-11-04,0.0,
1964-11-05,0.0,
1964-11-06,0.0,
1964-11-07,0.0,
1964-11-08,0.0,
1964-11-09,0.0,
1964-11-10,0.0,
1964-11-11,0.0,
1964-11-12,0.0,
1964-11-13,0.05,
1964-11-14,0.0,
1964-11-15,0.0,
1964-11-16,0.0,
1964-11-17,0.0,
1964-11-18,0.0,
1964-11-19,0.0,
1964-11-20,0.0,
1964-11-21,0.0,
1964-11-22,0.0,
1964-11-23,0.0,
1964-11-24,0.0,
1964-11-25,0.0,
1964-11-26,0.0,
1964-11-27,0.0,
1964-11-28,0.0,
1964-11-29,0.09,
1964-11-30,0.2,
1964-12-01,0.15,
1964-12-02,0.15,
1964-12-03,0.15,
1964-12-04,0.21,
1964-12-05,0.25,
1964-12-06,0.22,
1964-12-07,0.23,
1964-12-08,0.21,
1964-12-09,0.21,
1964-12-10,0.21,
1964-12-11,0.21,
1964-12-12,0.21,
1964-12-13,0.2,
1964-12-14,0.2,
1964-12-15,0.2,33.0
1964-12-16,0.19,
1964-12-17,0.17,
1964-12-18,0.17,
1964-12-19,0.16,
1964-12-20,0.2,
1964-12-21,0.2,
1964-12-22,0.19,
1964-12-23,0.19,
1964-12-24,0.18,
1964-12-25,0.18,
1964-12-26,0.21,
1964-12-27,0.31,
1964-12-28,0.31,
1964-12-29,0.3,
1964-12-30,0.3,
1964-12-31,0.29,
1965-01-01,0.29,50.0
1965-01-02,0.24,
1965-01-03,0.26,
1965-01-04,0.25,
1965-01-05,0.24,
1965-01-06,0.2,
1965-01-07,0.24,
1965-01-08,0.24,
1965-01-09,0.24,
1965-01-10,0.25,
1965-01-11,0.24,
1965-01-12,0.22,
1965-01-13,0.22,
1965-01-14,0.24,
1965-01-15,0.24,40.0
1965-01-16,0.24,
1965-01-17,0.26,
1965-01-18,0.33,
1965-01-19,0.33,
1965-01-20,0.33,
1965-01-21,0.35,
1965-01-22,0.34,
1965-01-23,0.34,
1965-01-24,0.34,
1965-01-25,0.34,
1965-01-26,0.33,
1965-01-27,0.33,
1965-01-28,0.33,
1965-01-29,0.33,
1965-01-30,0.32,
1965-01-31,0.32,
1965-02-01,0.32,55.0
1965-02-02,0.32,
1965-02-03,0.32,
1965-02-04,0.32,
1965-02-05,0.32,
1965-02-06,0.32,
1965-02-07,0.32,
1965-02-08,0.32,
1965-02-09,0.32,
1965-02-10,0.32,
1965-02-11,0.32,
1965-02-12,0.31,
1965-02-13,0.31,
1965-02-14,0.31,
1965-02-15,0.31,60.0
1965-02-16,0.31,
1965-02-17,0.31,
1965-02-18,0.31,
1965-02-19,0.31,
1965-02-20,0.31,
1965-02-21,0.31,
1965-02-22,0.3,
1965-02-23,0.3,
1965-02-24,0.3,
1965-02-25,0.3,
1965-02-26,0.3,
1965-02-27,0.3,
1965-02-28,0.3,61.0
1965-03-01,0.3,
1965-03-02,0.35,
1965-03-03,0.41,
1965-03-04,0.41,
1965-03-05,0.4,
1965-03-06,0.41,
1965-03-07,0.42,
1965-03-08,0.4,
1965-03-09,0.4,
1965-03-10,0.4,
1965-03-11,0.4,
1965-03-12,0.4,
1965-03-13,0.38,
1965-03-14,0.36,
1965-03-15,0.33,
1965-03-16,0.29,69.0
1965-03-17,0.29,
1965-03-18,0.28,
1965-03-19,0.31,
1965-03-20,0.3,
1965-03-21,0.27,
1965-03-22,0.26,
1965-03-23,0.2,
1965-03-24,0.23,
1965-03-25,0.29,
1965-03-26,0.32,
1965-03-27,0.65,
1965-03-28,0.44,
1965-03-29,0.38,
1965-03-30,0.29,
1965-03-31,0.24,
1965-04-01,0.24,81.0
1965-04-02,0.23,
1965-04-03,0.2,
1965-04-04,0.19,
1965-04-05,0.12,
1965-04-06,0.0,
1965-04-07,0.0,
1965-04-08,0.0,
1965-04-09,0.0,
1965-04-10,0.0,
1965-04-11,0.0,
1965-04-12,0.0,
1965-04-13,0.0,
1965-04-14,0.0,
1965-04-15,0.0,
1965-04-16,0.0,
1965-04-17,0.0,
1965-04-18,0.0,
1965-04-19,0.0,
1965-04-20,0.04,
1965-04-21,0.05,
1965-04-22,0.02,
1965-04-23,0.0,
1965-04-24,0.0,
1965-04-25,0.0,
1965-04-26,0.0,
1965-04-27,0.0,
1965-04-28,0.0,
1965-04-29,0.0,
1965-04-30,0.0,
