time,hs,swe_obs
1992-11-01,0.28,44.0
1992-11-02,0.25,44.0
1992-11-03,0.25,44.0
1992-11-04,0.28,48.0
1992-11-05,0.17,46.0
1992-11-06,0.17,38.0
1992-11-07,0.15,36.0
1992-11-08,0.14,38.0
1992-11-09,0.12,37.0
1992-11-10,0.1,40.0
1992-11-11,0.14,42.0
1992-11-12,0.18,44.0
1992-11-13,0.24,48.0
1992-11-14,0.3,54.0
1992-11-15,0.27,54.0
1992-11-16,0.25,56.0
1992-11-17,0.39,68.0
1992-11-18,0.62,80.0
1992-11-19,0.6,82.0
1992-11-20,0.65,94.0
1992-11-21,0.62,96.0
1992-11-22,0.55,112.0
1992-11-23,0.48,110.0
1992-11-24,0.45,108.0
1992-11-25,0.45,104.0
1992-11-26,0.45,104.0
1992-11-27,0.45,104.0
1992-11-28,0.42,100.0
1992-11-29,0.4,104.0
1992-11-30,0.44,108.0
1992-12-01,0.4,102.0
1992-12-02,0.4,102.0
1992-12-03,0.4,105.0
1992-12-04,0.74,126.0
1992-12-05,0.7,126.0
1992-12-06,0.93,146.0
1992-12-07,0.85,146.0
1992-12-08,0.85,146.0
1992-12-09,0.92,148.0
1992-12-10,0.92,150.0
1992-12-11,0.8,150.0
1992-12-12,0.78,150.0
1992-12-13,0.87,158.0
1992-12-14,0.85,158.0
1992-12-15,0.8,158.0
1992-12-16,0.79,158.0
1992-12-17,0.77,158.0
1992-12-18,0.75,158.0
1992-12-19,0.74,160.0
1992-12-20,0.73,162.0
1992-12-21,0.72,162.0
1992-12-22,0.7,162.0
1992-12-23,0.7,162.0
1992-12-24,0.7,162.0
1992-12-25,0.7,164.0
1992-12-26,0.7,164.0
1992-12-27,0.7,166.0
1992-12-28,0.7,167.0
1992-12-29,0.7,168.0
1992-12-30,0.7,170.0
1992-12-31,0.7,172.0
1993-01-01,0.7,172.0
1993-01-02,0.7,174.0
1993-01-03,0.7,174.0
1993-01-04,0.7,174.0
1993-01-05,0.7,174.0
1993-01-06,0.7,174.0
1993-01-07,0.68,174.0
1993-01-08,0.65,178.0
1993-01-09,0.67,182.0
1993-01-10,0.67,182.0
1993-01-11,0.66,182.0
1993-01-12,0.65,182.0
1993-01-13,0.66,185.0
1993-01-14,0.66,184.0
1993-01-15,0.67,190.0
1993-01-16,0.67,186.0
1993-01-17,0.67,186.0
1993-01-18,0.67,187.0
1993-01-19,0.67,187.0
1993-01-20,0.67,188.0
1993-01-21,0.67,186.0
1993-01-22,0.65,188.0
1993-01-23,0.65,186.0
1993-01-24,0.65,186.0
1993-01-25,0.7,188.0
1993-01-26,0.84,196.0
1993-01-27,0.8,202.0
1993-01-28,0.92,210.0
1993-01-29,0.93,212.0
1993-01-30,0.95,218.0
1993-01-31,0.9,218.0
1993-02-01,0.9,220.0
1993-02-02,0.88,220.0
1993-02-03,0.87,220.0
1993-02-04,0.85,220.0
1993-02-05,0.84,220.0
1993-02-06,0.84,220.0
1993-02-07,0.84,219.0
1993-02-08,0.83,220.0
1993-02-09,0.83,220.0
1993-02-10,0.82,220.0
1993-02-11,0.82,220.0
1993-02-12,0.82,220.0
1993-02-13,0.82,220.0
1993-02-14,0.82,220.0
1993-02-15,0.81,220.0
1993-02-16,0.81,220.0
1993-02-17,0.83,218.0
1993-02-18,0.95,224.0
1993-02-19,0.92,228.0
1993-02-20,1.16,234.0
1993-02-21,1.28,244.0
1993-02-22,1.4,262.0
1993-02-23,1.3,266.0
1993-02-24,1.27,268.0
1993-02-25,1.24,268.0
1993-02-26,1.24,268.0
1993-02-27,1.2,268.0
1993-02-28,1.17,268.0
1993-03-01,1.15,268.0
1993-03-02,1.15,268.0
1993-03-03,1.15,268.0
1993-03-04,1.22,270.0
1993-03-05,1.24,272.0
1993-03-06,1.2,274.0
1993-03-07,1.45,284.0
1993-03-08,1.47,294.0
1993-03-09,1.4,294.0
1993-03-10,1.34,294.0
1993-03-11,1.3,294.0
1993-03-12,1.25,294.0
1993-03-13,1.25,296.0
1993-03-14,1.22,295.0
1993-03-15,1.2,295.0
1993-03-16,1.18,294.0
1993-03-17,1.15,294.0
1993-03-18,1.12,292.0
1993-03-19,1.05,288.0
1993-03-20,1.05,284.0
1993-03-21,1.02,282.0
1993-03-22,1.02,278.0
1993-03-23,1.0,276.0
1993-03-24,1.06,278.0
1993-03-25,1.2,284.0
1993-03-26,1.37,298.0
1993-03-27,1.4,304.0
1993-03-28,1.35,310.0
1993-03-29,1.3,310.0
1993-03-30,1.3,314.0
1993-03-31,1.23,316.0
1993-04-01,1.2,318.0
1993-04-02,1.14,317.0
1993-04-03,1.18,318.0
1993-04-04,1.15,324.0
1993-04-05,1.23,320.0
1993-04-06,1.25,320.0
1993-04-07,1.42,336.0
1993-04-08,1.45,344.0
1993-04-09,1.38,346.0
1993-04-10,1.38,346.0
1993-04-11,1.4,352.0
1993-04-12,1.48,366.0
1993-04-13,1.4,368.0
1993-04-14,1.36,368.0
1993-04-15,1.38,368.0
1993-04-16,1.45,374.0
1993-04-17,1.5,380.0
1993-04-18,1.55,390.0
1993-04-19,1.42,390.0
1993-04-20,1.36,388.0
1993-04-21,1.3,380.0
1993-04-22,1.25,374.0
1993-04-23,1.2,368.0
1993-04-24,1.15,358.0
1993-04-25,1.1,344.0
1993-04-26,1.08,332.0
1993-04-27,1.05,318.0
1993-04-28,1.0,302.0
1993-04-29,0.95,280.0
1993-04-30,0.9,270.0
